tick,land,WBI,MPI,WSK,SPG,FTD,eigene_waehrung_anteil,importe,exporte,produktion,bedarf,sat_NAH,preis_NAH,sat_ENE,preis_ENE,sat_WOH,preis_WOH,sat_GES,preis_GES,sat_BIL,preis_BIL,sat_KUL,preis_KUL,sat_SIC,preis_SIC,sat_DAT,preis_DAT,sat_MOB,preis_MOB
4,BEL,77.7332,36.105,61.3151,19.3891,0.8439,0.2228,0.0,0.0,6.736,8.5196,0.7599,1.1012,0.7181,2.4825,0.6725,2.0164,0.9074,2.7647,0.8908,1.8588,0.6609,1.69,1.0,0.9249,0.7293,1.9666,0.7297,1.8922
4,CAL,70.8243,40.7144,62.8759,18.2336,1.385,0.2686,0.0,0.0,7.2459,9.093,0.745,0.9737,0.718,1.7938,0.6427,1.7189,0.9439,1.8559,0.8903,1.6255,0.6306,1.6906,1.0,1.2556,0.7886,2.187,0.7163,2.3745
5,AUR,72.7637,42.1601,62.9657,15.1483,1.4778,0.2939,0.0,0.0,7.737,9.656,0.7826,0.9702,0.8011,1.6933,0.6546,1.6962,0.8894,2.4062,0.8812,1.7332,0.6872,1.6745,1.0,1.0657,0.711,2.0948,0.718,2.0008
5,BEL,78.8414,35.0577,61.6299,18.9619,0.9258,0.2227,0.0,0.0,6.7383,8.5418,0.7603,1.102,0.7186,2.4857,0.6728,2.0157,0.9072,2.7552,0.8855,1.8608,0.6571,1.6896,1.0,0.923,0.725,1.9601,0.7255,1.8832
5,CAL,72.7282,39.2011,62.9071,17.0115,1.5139,0.2675,0.0,0.0,7.254,9.1341,0.7458,0.9698,0.7197,1.7901,0.6431,1.7095,0.9447,1.8431,0.8807,1.6276,0.6251,1.6904,1.0,1.2516,0.7805,2.1864,0.7094,2.3684
6,AUR,73.9172,40.8636,63.1467,14.4087,1.5642,0.2935,0.0,0.0,7.7415,9.6823,0.7833,0.9696,0.8015,1.6936,0.6556,1.6916,0.8893,2.3979,0.8755,1.7354,0.6828,1.6747,1.0,1.0627,0.7064,2.0907,0.714,1.9923
6,BEL,79.6175,34.325,61.8311,18.6644,0.9824,0.2227,0.0,0.0,6.7406,8.5574,0.7608,1.1036,0.7191,2.4904,0.6732,2.0165,0.9071,2.7479,0.8818,1.8618,0.6545,1.6889,1.0,0.9217,0.7222,1.9535,0.7228,1.874
6,CAL,74.0781,38.1279,62.9063,16.131,1.6006,0.2665,0.0,0.0,7.262,9.163,0.7467,0.9672,0.7214,1.7887,0.6436,1.7024,0.9455,1.833,0.8742,1.628,0.6217,1.6901,1.0,1.2492,0.7751,2.1845,0.7048,2.3614
7,AUR,74.7339,39.9543,63.2544,13.9063,1.6211,0.2933,0.0,0.0,7.7458,9.7008,0.7839,0.9697,0.8019,1.6952,0.6567,1.6885,0.8891,2.3916,0.8716,1.7366,0.6798,1.6747,1.0,1.0606,0.7032,2.0863,0.7115,1.9836
7,BEL,80.1613,33.8144,61.9603,18.4567,1.021,0.2227,0.0,0.0,6.7429,8.5683,0.7612,1.1058,0.7196,2.4963,0.6735,2.0184,0.9069,2.7421,0.8793,1.8622,0.6528,1.6882,1.0,0.921,0.7203,1.9467,0.7209,1.8648
7,CAL,75.0404,37.3676,62.8939,15.4991,1.6569,0.2658,0.0,0.0,7.2699,9.1836,0.7475,0.9654,0.723,1.7889,0.6441,1.6969,0.9462,1.8246,0.8696,1.6274,0.6197,1.6898,1.0,1.2478,0.7715,2.1818,0.7019,2.3541
8,AUR,75.315,39.3185,63.3178,13.5705,1.6571,0.2931,0.0,0.0,7.7501,9.7139,0.7845,0.9703,0.8023,1.6976,0.6576,1.6863,0.889,2.3866,0.8689,1.7372,0.6778,1.6745,1.0,1.059,0.701,2.0817,0.7099,1.9748
8,BEL,80.5427,33.4607,62.0439,18.311,1.0466,0.2227,0.0,0.0,6.7451,8.576,0.7616,1.1084,0.72,2.503,0.6739,2.0211,0.9068,2.7375,0.8777,1.8621,0.6517,1.6873,1.0,0.9206,0.719,1.9397,0.7198,1.8554
8,CAL,75.7315,36.8296,62.8817,15.0406,1.6916,0.2652,0.0,0.0,7.2775,9.1982,0.7483,0.9643,0.7246,1.7902,0.6445,1.6926,0.947,1.8175,0.8665,1.6261,0.6186,1.6894,1.0,1.2472,0.7691,2.1786,0.7,2.3466
9,AUR,75.7312,38.8763,63.3552,13.3505,1.678,0.293,0.0,0.0,7.7542,9.7233,0.7851,0.9713,0.8027,1.7006,0.6586,1.6848,0.8888,2.3826,0.8671,1.7373,0.6763,1.6743,1.0,1.0579,0.6994,2.0771,0.709,1.9659
9,BEL,80.8104,33.2175,62.0992,18.2085,1.0629,0.2228,0.0,0.0,6.7473,8.5814,0.7621,1.1113,0.7204,2.5101,0.6742,2.0244,0.9066,2.7336,0.8766,1.8617,0.651,1.6864,1.0,0.9204,0.7183,1.9327,0.719,1.8461
9,CAL,76.2326,36.4496,62.8736,14.7167,1.7108,0.2646,0.0,0.0,7.2851,9.2087,0.7492,0.9637,0.7261,1.7922,0.6449,1.6891,0.9477,1.8114,0.8643,1.6243,0.6182,1.6891,1.0,1.247,0.7675,2.1751,0.6989,2.3389
10,AUR,76.0318,38.5708,63.3778,13.2095,1.6881,0.293,0.0,0.0,7.7582,9.7299,0.7857,0.9726,0.8031,1.704,0.6596,1.6838,0.8887,2.3792,0.8658,1.7371,0.6753,1.6739,1.0,1.057,0.6983,2.0724,0.7086,1.9571
10,BEL,80.9985,33.0525,62.1369,18.1361,1.0725,0.2229,0.0,0.0,6.7494,8.5851,0.7625,1.1144,0.7208,2.5176,0.6745,2.028,0.9065,2.7303,0.8759,1.8612,0.6506,1.6855,1.0,0.9204,0.7178,1.9257,0.7186,1.8369
10,CAL,76.6006,36.1818,62.872,14.4878,1.7189,0.2642,0.0,0.0,7.2924,9.2163,0.7499,0.9633,0.7276,1.7947,0.6453,1.6862,0.9485,1.8059,0.8627,1.6224,0.6182,1.6887,1.0,1.2472,0.7666,2.1713,0.6983,2.3312
11,AUR,76.2514,38.3622,63.3926,13.1227,1.6907,0.293,0.0,0.0,7.7621,9.7348,0.7862,0.9741,0.8035,1.7076,0.6605,1.6831,0.8885,2.3762,0.8649,1.7367,0.6747,1.6736,1.0,1.0562,0.6975,2.0676,0.7084,1.9484
11,BEL,81.1309,32.9426,62.1639,18.0849,1.0773,0.223,0.0,0.0,6.7514,8.5878,0.7629,1.1176,0.7212,2.5251,0.6749,2.0318,0.9063,2.7274,0.8754,1.8605,0.6504,1.6844,1.0,0.9205,0.7176,1.9187,0.7185,1.8277
11,CAL,76.8751,35.9937,62.8776,14.3241,1.7192,0.2637,0.0,0.0,7.2996,9.2219,0.7507,0.9632,0.7291,1.7976,0.6457,1.6837,0.9492,1.8009,0.8616,1.6202,0.6186,1.6884,1.0,1.2476,0.766,2.1674,0.6981,2.3234
12,AUR,76.4141,38.2219,63.4018,13.0866,1.6878,0.293,0.0,0.0,7.7659,9.7383,0.7868,0.9757,0.8038,1.7114,0.6615,1.6827,0.8884,2.3737,0.8642,1.7362,0.6742,1.6732,1.0,1.0556,0.6969,2.0629,0.7085,1.9397
12,BEL,81.2243,32.8715,62.1846,18.0486,1.0787,0.2231,0.0,0.0,6.7534,8.5896,0.7633,1.1209,0.7216,2.5327,0.6752,2.0358,0.9062,2.7248,0.8751,1.8598,0.6503,1.6834,1.0,0.9207,0.7175,1.9117,0.7184,1.8186
12,CAL,77.084,35.8623,62.8899,14.2059,1.7141,0.2633,0.0,0.0,7.3067,9.2261,0.7515,0.9633,0.7306,1.8007,0.6461,1.6816,0.9499,1.7963,0.8609,1.6179,0.6191,1.6881,1.0,1.2482,0.7657,2.1634,0.6981,2.3157
13,AUR,76.5369,38.1301,63.4083,13.0845,1.6811,0.2931,0.0,0.0,7.7696,9.7409,0.7873,0.9774,0.8042,1.7153,0.6624,1.6825,0.8882,2.3713,0.8638,1.7357,0.6739,1.6727,1.0,1.0551,0.6965,2.0581,0.7087,1.931
13,BEL,81.2904,32.828,62.201,18.0271,1.0778,0.2233,0.0,0.0,6.7554,8.5909,0.7636,1.1242,0.722,2.5402,0.6755,2.0398,0.9061,2.7223,0.875,1.859,0.6504,1.6822,1.0,0.9209,0.7175,1.9048,0.7185,1.8096
13,CAL,77.2466,35.7712,62.9059,14.1376,1.705,0.263,0.0,0.0,7.3136,9.2293,0.7522,0.9634,0.732,1.8039,0.6464,1.6797,0.9505,1.7919,0.8603,1.6156,0.6198,1.6877,1.0,1.2488,0.7656,2.1594,0.6983,2.308
14,AUR,76.6316,38.0727,63.4137,13.1052,1.6718,0.2931,0.0,0.0,7.7732,9.7429,0.7879,0.9792,0.8045,1.7192,0.6633,1.6825,0.888,2.3692,0.8635,1.735,0.6737,1.6723,1.0,1.0546,0.6961,2.0534,0.709,1.9225
14,BEL,81.3372,32.804,62.2145,18.0195,1.0751,0.2234,0.0,0.0,6.7573,8.5919,0.764,1.1275,0.7224,2.5476,0.6759,2.0439,0.9059,2.7199,0.875,1.8581,0.6504,1.6811,1.0,0.9211,0.7176,1.8979,0.7187,1.8008
14,CAL,77.3766,35.7089,62.9247,14.1079,1.6933,0.2626,0.0,0.0,7.3204,9.2317,0.753,0.9637,0.7334,1.8073,0.6468,1.6779,0.9512,1.7878,0.8599,1.6132,0.6206,1.6874,1.0,1.2494,0.7656,2.1553,0.6986,2.3004
15,AUR,76.7064,38.0396,63.4188,13.1408,1.6607,0.2932,0.0,0.0,7.7767,9.7444,0.7884,0.981,0.8048,1.7232,0.6642,1.6825,0.8879,2.3671,0.8633,1.7343,0.6735,1.6718,1.0,1.0542,0.6958,2.0486,0.7094,1.914
15,BEL,81.3706,32.7937,62.2263,18.0216,1.0712,0.2235,0.0,0.0,6.7592,8.5925,0.7644,1.1309,0.7228,2.555,0.6762,2.048,0.9058,2.7177,0.875,1.8572,0.6506,1.6799,1.0,0.9213,0.7177,1.891,0.7189,1.792
15,CAL,77.4834,35.6671,62.9462,14.1016,1.6798,0.2623,0.0,0.0,7.3271,9.2337,0.7537,0.964,0.7348,1.8106,0.6472,1.6763,0.9518,1.7839,0.8597,1.6109,0.6214,1.687,1.0,1.25,0.7657,2.1512,0.699,2.2928
16,AUR,76.7671,38.0237,63.4242,13.1862,1.6483,0.2933,0.0,0.0,7.7802,9.7456,0.789,0.9828,0.8052,1.7271,0.665,1.6826,0.8877,2.3652,0.8631,1.7336,0.6734,1.6714,1.0,1.0537,0.6956,2.0439,0.7099,1.9056
16,BEL,81.3945,32.7931,62.2363,18.0378,1.0665,0.2237,0.0,0.0,6.761,8.593,0.7648,1.1342,0.7232,2.5622,0.6765,2.0522,0.9057,2.7156,0.875,1.8564,0.6507,1.6786,1.0,0.9216,0.7179,1.8842,0.7191,1.7834
16,CAL,77.5737,35.6401,62.97,14.1107,1.665,0.262,0.0,0.0,7.3336,9.2353,0.7544,0.9644,0.7361,1.814,0.6475,1.6748,0.9525,1.7801,0.8595,1.6085,0.6223,1.6867,1.0,1.2507,0.7659,2.1471,0.6994,2.2852
17,AUR,76.8178,38.0201,63.4298,13.2377,1.6352,0.2934,0.0,0.0,7.7835,9.7466,0.7895,0.9847,0.8055,1.731,0.6659,1.6828,0.8876,2.3633,0.863,1.7329,0.6734,1.6709,1.0,1.0533,0.6954,2.0392,0.7103,1.8973
17,BEL,81.4117,32.7995,62.2423,18.0865,1.0613,0.2238,0.0,0.0,6.7628,8.5933,0.7651,1.1376,0.7235,2.5692,0.6768,2.0563,0.9056,2.7135,0.8751,1.8555,0.6509,1.6773,1.0,0.9218,0.7181,1.8774,0.7194,1.7748
17,CAL,77.6521,35.6237,62.9955,14.13,1.6495,0.2618,0.0,0.0,7.34,9.2367,0.7551,0.9648,0.7374,1.8173,0.6478,1.6734,0.9531,1.7764,0.8593,1.6061,0.6232,1.6863,1.0,1.2513,0.7661,2.1431,0.6999,2.2777
18,AUR,76.8614,38.0253,63.4359,13.2928,1.6215,0.2935,0.0,0.0,7.7868,9.7474,0.79,0.9866,0.8058,1.7349,0.6667,1.6831,0.8874,2.3615,0.8629,1.7322,0.6733,1.6704,1.0,1.0528,0.6953,2.0345,0.7108,1.8891
18,BEL,81.4242,32.8107,62.243,18.18,1.0556,0.224,0.0,0.0,6.7646,8.5936,0.7655,1.1409,0.7239,2.5762,0.6771,2.0605,0.9054,2.7115,0.8752,1.8546,0.6511,1.676,1.0,0.9221,0.7183,1.8706,0.7196,1.7663
18,CAL,77.722,35.615,63.0223,14.1557,1.6335,0.2615,0.0,0.0,7.3463,9.2379,0.7558,0.9652,0.7387,1.8207,0.6481,1.6721,0.9537,1.7728,0.8592,1.6038,0.624,1.6859,1.0,1.2519,0.7664,2.139,0.7004,2.2702
19,AUR,76.8998,38.0367,63.4423,13.3511,1.6076,0.2936,0.0,0.0,7.79,9.7481,0.7905,0.9884,0.8061,1.7388,0.6676,1.6834,0.8873,2.3597,0.8629,1.7315,0.6733,1.6699,1.0,1.0524,0.6951,2.0298,0.7113,1.881
19,BEL,81.4332,32.8255,62.2385,18.315,1.0497,0.2242,0.0,0.0,6.7663,8.5937,0.7658,1.1443,0.7242,2.5829,0.6774,2.0646,0.9053,2.7095,0.8753,1.8537,0.6513,1.6746,1.0,0.9223,0.7186,1.8638,0.7199,1.758
19,CAL,77.7855,35.6121,63.0501,14.1853,1.6173,0.2613,0.0,0.0,7.3525,9.239,0.7565,0.9657,0.7399,1.824,0.6484,1.6709,0.9543,1.7693,0.8591,1.6015,0.6249,1.6856,1.0,1.2524,0.7666,2.1349,0.7009,2.2628
20,AUR,76.9344,38.0527,63.4483,13.4153,1.5935,0.2938,0.0,0.0,7.7931,9.7487,0.791,0.9903,0.8064,1.7426,0.6684,1.6837,0.8871,2.358,0.8628,1.7307,0.6733,1.6694,1.0,1.0519,0.6949,2.0251,0.7118,1.873
20,BEL,81.4399,32.8429,62.2307,18.4769,1.0437,0.2243,0.0,0.0,6.7679,8.5939,0.7661,1.1476,0.7245,2.5896,0.6778,2.0687,0.9052,2.7076,0.8755,1.8529,0.6515,1.6732,1.0,0.9225,0.7188,1.8571,0.7202,1.7497
20,CAL,77.8443,35.6134,63.0784,14.2171,1.6011,0.2611,0.0,0.0,7.3585,9.2399,0.7572,0.9661,0.7412,1.8273,0.6487,1.6697,0.9549,1.7659,0.859,1.5991,0.6258,1.6852,1.0,1.2529,0.7669,2.1309,0.7013,2.2554
21,AUR,76.9663,38.0718,63.4543,13.4821,1.5794,0.2939,0.0,0.0,7.7962,9.7493,0.7915,0.9922,0.8067,1.7464,0.6692,1.6841,0.887,2.3562,0.8628,1.73,0.6733,1.6689,1.0,1.0514,0.6948,2.0204,0.7123,1.865
21,BEL,81.4448,32.862,62.2207,18.6561,1.0376,0.2245,0.0,0.0,6.7696,8.594,0.7665,1.1509,0.7248,2.5961,0.6781,2.0729,0.9051,2.7057,0.8756,1.8521,0.6517,1.6718,1.0,0.9227,0.7191,1.8504,0.7205,1.7415
21,CAL,77.8996,35.6181,63.1071,14.2499,1.5848,0.2609,0.0,0.0,7.3644,9.2408,0.7579,0.9666,0.7424,1.8305,0.649,1.6686,0.9555,1.7625,0.859,1.5969,0.6267,1.6848,1.0,1.2533,0.7672,2.1268,0.7018,2.2481
22,AUR,76.9961,38.0931,63.4604,13.55,1.5654,0.294,0.0,0.0,7.7992,9.7498,0.7919,0.9941,0.807,1.7502,0.67,1.6845,0.8869,2.3546,0.8628,1.7293,0.6733,1.6684,1.0,1.0509,0.6946,2.0157,0.7128,1.8571
22,BEL,81.4485,32.8827,62.2091,18.8458,1.0315,0.2247,0.0,0.0,6.7711,8.594,0.7668,1.1542,0.7251,2.6026,0.6784,2.077,0.905,2.7039,0.8757,1.8513,0.6519,1.6703,1.0,0.9228,0.7193,1.8437,0.7208,1.7333
22,CAL,77.9521,35.6251,63.1359,14.283,1.5687,0.2607,0.0,0.0,7.3702,9.2417,0.7585,0.9671,0.7435,1.8337,0.6492,1.6675,0.9561,1.7592,0.8589,1.5946,0.6276,1.6844,1.0,1.2538,0.7675,2.1228,0.7023,2.2409
23,AUR,77.0244,38.116,63.4664,13.6183,1.5515,0.2942,0.0,0.0,7.8021,9.7503,0.7924,0.9961,0.8072,1.754,0.6708,1.685,0.8868,2.353,0.8628,1.7286,0.6733,1.6678,1.0,1.0503,0.6945,2.011,0.7133,1.8492
23,BEL,81.4512,32.9044,62.1966,19.0415,1.0254,0.2249,0.0,0.0,6.7727,8.5941,0.7671,1.1576,0.7254,2.6088,0.6787,2.0811,0.9048,2.7021,0.8758,1.8505,0.6521,1.6689,1.0,0.923,0.7196,1.837,0.7211,1.7253
23,CAL,78.0024,35.6342,63.1647,14.3158,1.5527,0.2605,0.0,0.0,7.3759,9.2425,0.7591,0.9677,0.7447,1.8368,0.6495,1.6665,0.9567,1.756,0.8589,1.5923,0.6284,1.684,1.0,1.2542,0.7678,2.1189,0.7028,2.2337
24,AUR,77.0513,38.1402,63.4725,13.6862,1.5377,0.2943,0.0,0.0,7.805,9.7507,0.7929,0.998,0.8075,1.7577,0.6715,1.6855,0.8866,2.3514,0.8627,1.7279,0.6733,1.6673,1.0,1.0497,0.6943,2.0063,0.7138,1.8414
24,BEL,81.4533,32.927,62.1835,19.2402,1.0193,0.2251,0.0,0.0,6.7742,8.5941,0.7674,1.1608,0.7257,2.615,0.679,2.0852,0.9047,2.7004,0.876,1.8497,0.6523,1.6673,1.0,0.9231,0.7199,1.8303,0.7214,1.7173
24,CAL,78.0508,35.6448,63.1934,14.3479,1.537,0.2604,0.0,0.0,7.3815,9.2432,0.7598,0.9682,0.7458,1.8398,0.6497,1.6656,0.9572,1.7528,0.8589,1.59,0.6292,1.6836,1.0,1.2545,0.7681,2.1149,0.7033,2.2266
