step,region,commune,domain,priority,explanation,causality,time,intensity,existence,potencies,effects,substance,matter,difference,determination,phenomena,angle direction
120,Aqua North Basin,AquaNortCommune708,water,0.868175,need gap=0.877 potencies=0.800 trust=1.000 boundary penalty=0.991,3.52,3.183847,3.255624,3.655624,3.201769,3.88,3.179507,3.539149,3.508034,3.519881,4.0,3.309711
120,Forest Equator Belt,ForestEqCommune469,water,0.867948,need gap=0.941 potencies=0.775 trust=1.000 boundary penalty=0.991,3.52,3.298848,3.434513,3.834513,3.098471,3.88,3.099033,2.344115,3.76359,3.659776,4.0,3.309552
120,Steppe Grain Commons,SteppeGrCommune706,food,0.867869,need gap=1.000 potencies=0.553 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.596345,3.94,2.211721,3.76,3.169329,2.985452,4.0,3.591472,4.0,3.261953
120,Aqua North Basin,AquaNortCommune504,food,0.867501,need gap=0.950 potencies=0.737 trust=1.000 boundary penalty=0.991,3.28,3.234645,3.420066,3.799087,2.947808,3.76,2.946613,3.516965,3.798695,3.46286,4.0,3.257659
120,Aqua North Basin,AquaNortCommune454,water,0.867416,need gap=0.890 potencies=0.737 trust=1.000 boundary penalty=0.991,3.52,3.206753,3.291255,3.691255,2.946302,3.88,3.268553,3.520106,3.558936,3.477957,4.0,3.29293
120,Delta Commons,DeltaComCommune953,water,0.866714,need gap=0.874 potencies=0.680 trust=1.000 boundary penalty=0.991,3.52,3.179127,3.24828,3.64828,2.720236,3.88,4.0,3.225557,3.497543,3.518639,4.0,3.310798
120,Forest Equator Belt,ForestEqCommune139,food,0.866628,need gap=1.000 potencies=0.676 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.570384,3.94,2.703858,3.76,2.900934,2.710739,4.0,3.554059,4.0,3.252974
120,Aqua North Basin,AquaNortCommune641,food,0.866105,need gap=0.960 potencies=0.637 trust=1.000 boundary penalty=0.991,3.28,3.252658,3.453093,3.827107,2.54813,3.76,3.177827,3.519174,3.838724,3.422398,4.0,3.242664
120,Highland Care Ring,HighlandCommune541,food,0.865606,need gap=1.000 potencies=0.665 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.677951,3.94,2.661369,3.76,2.865142,2.507343,4.0,3.58022,4.0,3.259253
120,Temperate Ring,TemperateCommune872,water,0.865366,need gap=1.000 potencies=0.479 trust=1.000 boundary penalty=0.991,3.52,3.405232,3.844545,4.0,1.91726,3.88,2.728001,2.379669,4.0,3.668779,4.0,3.280507
120,Aqua North Basin,AquaNortCommune641,water,0.864637,need gap=0.920 potencies=0.637 trust=1.000 boundary penalty=0.991,3.52,3.261804,3.382876,3.776889,2.54989,3.88,3.177827,3.519174,3.68127,3.335798,4.0,3.242664
120,Aqua North Basin,AquaNortCommune368,food,0.864066,need gap=0.964 potencies=0.599 trust=1.000 boundary penalty=0.991,3.28,3.261259,3.503707,3.840486,2.395706,3.76,3.095156,3.489334,3.857837,3.425455,4.0,3.240875
120,Highland Care Ring,HighlandCommune824,food,0.864049,need gap=1.000 potencies=0.665 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.734193,3.94,2.660358,3.76,2.78,2.165031,4.0,3.740419,4.0,3.2977
120,Mountain Water Towers,MountainCommune004,energy,0.863881,need gap=1.000 potencies=0.796 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.424,3.736,3.183948,3.2,3.0,3.760825,4.0,3.796845,4.0,3.208
120,Highland Care Ring,HighlandCommune291,food,0.862693,need gap=1.000 potencies=0.566 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.792524,3.94,2.265407,3.76,2.812716,2.641593,4.0,3.571836,4.0,3.257241
120,Forest Equator Belt,ForestEqCommune022,food,0.862663,need gap=1.000 potencies=0.709 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.716027,3.94,2.835756,3.76,2.682548,2.386167,4.0,3.477453,4.0,3.234589
120,Temperate Ring,TemperateCommune872,food,0.861896,need gap=1.000 potencies=0.596 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.804545,3.94,2.38297,3.76,2.728001,2.379669,4.0,3.668779,4.0,3.280507
120,Aqua North Basin,AquaNortCommune900,food,0.86165,need gap=0.925 potencies=0.762 trust=1.000 boundary penalty=0.991,3.28,3.190852,3.350964,3.730964,3.049872,3.76,3.132871,3.491119,3.701377,3.323712,4.0,3.237109
120,Dryland Solar Arc,DrylandSCommune847,food,0.861472,need gap=1.000 potencies=0.624 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.94,3.94,2.495224,3.76,2.714823,2.172905,4.0,3.553211,4.0,3.252771
120,Aqua North Basin,AquaNortCommune454,food,0.861296,need gap=0.898 potencies=0.778 trust=1.000 boundary penalty=0.991,3.28,3.141263,3.273825,3.653825,3.111243,3.76,3.268553,3.520106,3.591179,3.495691,4.0,3.29293
120,Forest Equator Belt,ForestEqCommune973,food,0.861165,need gap=1.000 potencies=0.607 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.572745,3.94,2.428777,3.76,2.951181,2.453332,4.0,3.669711,4.0,3.280731
120,Subpolar Storage Rim,SubpolarCommune790,food,0.861151,need gap=1.000 potencies=0.579 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.864798,3.94,2.315271,3.76,2.941943,2.327907,4.0,3.506326,4.0,3.241518
120,Highland Care Ring,HighlandCommune617,food,0.860693,need gap=1.000 potencies=0.608 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.646981,3.94,2.431804,3.76,2.838045,2.463371,4.0,3.629869,4.0,3.271168
120,Aqua North Basin,AquaNortCommune900,water,0.860532,need gap=0.926 potencies=0.578 trust=1.000 boundary penalty=0.991,3.52,3.272368,3.393323,3.793323,2.311334,3.88,3.132871,3.491119,3.704747,3.325565,4.0,3.237109
120,Temperate Ring,TemperateCommune536,food,0.860507,need gap=1.000 potencies=0.571 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.679832,3.94,2.284191,3.76,3.142986,2.418881,4.0,3.519672,4.0,3.244721
120,Highland Care Ring,HighlandCommune634,food,0.859169,need gap=1.000 potencies=0.566 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.809585,3.94,2.265848,3.76,2.890989,2.304818,4.0,3.574061,4.0,3.257775
120,Aqua North Basin,AquaNortCommune708,food,0.858941,need gap=0.899 potencies=0.733 trust=1.000 boundary penalty=0.991,3.28,3.143091,3.27667,3.65667,2.932639,3.76,3.179507,3.539149,3.595243,3.567845,4.0,3.309711
120,Aqua North Basin,AquaNortCommune883,water,0.857805,need gap=0.913 potencies=0.577 trust=1.000 boundary penalty=0.991,3.52,3.248821,3.356693,3.756693,2.306473,3.88,3.144075,3.505362,3.652419,3.357516,4.0,3.251685
120,Temperate Ring,TemperateCommune917,food,0.857289,need gap=1.000 potencies=0.518 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.89828,3.94,2.0709,3.76,2.458342,2.530883,4.0,3.682232,4.0,3.283736
120,Forest Equator Belt,ForestEqCommune973,water,0.856404,need gap=0.919 potencies=0.757 trust=1.000 boundary penalty=0.991,3.52,3.259958,3.386763,3.774018,3.027528,3.88,2.951181,2.453332,3.677169,3.492153,4.0,3.280731
120,Delta Commons,DeltaComCommune891,food,0.856317,need gap=0.893 potencies=0.854 trust=1.000 boundary penalty=0.991,3.28,3.132128,3.259615,3.639615,3.415077,3.76,3.164336,3.210699,3.570879,3.38626,4.0,3.269346
120,Delta Commons,DeltaComCommune891,water,0.856201,need gap=0.890 potencies=0.700 trust=1.000 boundary penalty=0.991,3.52,3.207202,3.291953,3.691953,2.800305,3.88,3.164336,3.210699,3.559933,3.38024,4.0,3.269346
120,Aqua North Basin,AquaNortCommune504,energy,0.855278,need gap=0.992 potencies=0.834 trust=1.000 boundary penalty=0.991,3.12,3.03858,3.402187,3.713207,3.337903,3.2,2.946613,3.516965,3.967439,3.555669,4.0,3.208
120,Aqua North Basin,AquaNortCommune883,food,0.85519,need gap=0.930 potencies=0.624 trust=1.000 boundary penalty=0.991,3.28,3.199612,3.364591,3.744591,2.496719,3.76,3.144075,3.505362,3.720845,3.395151,4.0,3.251685
120,Temperate Ring,TemperateCommune021,food,0.854513,need gap=1.000 potencies=0.542 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.712727,3.94,2.166089,3.76,3.0,2.217276,4.0,3.546915,4.0,3.251259
120,Delta Commons,DeltaComCommune010,water,0.85418,need gap=0.897 potencies=0.633 trust=1.000 boundary penalty=0.991,3.52,3.220292,3.312315,3.712315,2.531487,3.88,3.268523,2.972355,3.589021,3.502988,4.0,3.294966
120,Forest Equator Belt,ForestEqCommune645,food,0.853972,need gap=0.940 potencies=0.738 trust=1.000 boundary penalty=0.991,3.28,3.217892,3.393027,3.773027,2.950802,3.76,3.302037,2.292478,3.761467,3.581918,4.0,3.291147
120,Delta Commons,DeltaComCommune235,water,0.85318,need gap=0.817 potencies=0.790 trust=1.000 boundary penalty=0.991,3.52,3.075652,3.087321,3.487321,3.160077,3.88,4.0,3.23605,3.267601,3.297316,4.0,3.288033
120,Aqua North Basin,AquaNortCommune313,water,0.852318,need gap=0.876 potencies=0.643 trust=1.000 boundary penalty=0.991,3.52,3.182372,3.253329,3.653329,2.57249,3.88,3.312763,3.475664,3.504756,3.278492,4.0,3.25221
120,Temperate Ring,TemperateCommune066,food,0.852304,need gap=1.000 potencies=0.521 trust=1.000 boundary penalty=0.991,3.28,3.325232,3.744269,3.94,2.084352,3.76,2.62622,2.242979,4.0,3.716437,4.0,3.291945
120,Delta Commons,DeltaComCommune110,water,0.852193,need gap=0.889 potencies=0.601 trust=1.000 boundary penalty=0.991,3.52,3.205362,3.298442,3.689091,2.40323,3.88,3.59706,2.973196,3.555844,3.383546,4.0,3.27068
120,Mountain Water Towers,MountainCommune913,energy,0.850905,need gap=1.000 potencies=0.590 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.667857,3.736,2.361699,3.2,2.907162,3.72547,4.0,3.638782,4.0,3.208
120,Mountain Water Towers,MountainCommune065,energy,0.849687,need gap=1.000 potencies=0.621 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.493717,3.736,2.484034,3.2,3.0,3.73232,4.0,3.622228,4.0,3.208
120,Mountain Water Towers,MountainCommune712,energy,0.847923,need gap=1.000 potencies=0.637 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.433144,3.736,2.547216,3.2,3.0,3.707263,4.0,3.573053,4.0,3.208
120,Coastal Wind Belt,CoastalWCommune003,energy,0.844905,need gap=1.000 potencies=0.643 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.424,3.736,2.57389,3.2,3.0,3.522485,4.0,3.552793,4.0,3.208
120,Urban Repair Web,UrbanRepCommune817,energy,0.844679,need gap=1.000 potencies=0.656 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.510011,3.736,2.624474,3.2,3.0,3.395861,4.0,3.471295,4.0,3.208
120,Forest Equator Belt,ForestEqCommune659,water,0.843025,need gap=0.883 potencies=0.684 trust=1.000 boundary penalty=0.991,3.52,3.193996,3.298046,3.67141,2.737128,3.88,3.094862,2.598251,3.530586,3.380391,4.0,3.273256
120,Delta Commons,DeltaComCommune831,energy,0.842449,need gap=1.000 potencies=0.680 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.576482,3.736,2.721129,3.2,2.839101,3.139007,4.0,3.515584,4.0,3.208
120,Highland Care Ring,HighlandCommune291,energy,0.84153,need gap=1.000 potencies=0.738 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.656524,3.736,2.951674,3.2,2.812716,2.641593,4.0,3.571836,4.0,3.208
120,Delta Commons,DeltaComCommune653,water,0.840988,need gap=0.837 potencies=0.766 trust=1.000 boundary penalty=0.991,3.52,3.111668,3.143345,3.543345,3.062012,3.88,3.311676,3.061108,3.347636,3.177969,4.0,3.248825
120,Aqua North Basin,AquaNortCommune708,energy,0.840708,need gap=0.937 potencies=0.779 trust=1.000 boundary penalty=0.991,3.12,2.940143,3.248083,3.560083,3.116978,3.2,3.179507,3.539149,3.74869,3.652241,4.0,3.208
120,Steppe Grain Commons,SteppeGrCommune404,energy,0.840422,need gap=1.000 potencies=0.671 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.439341,3.736,2.6858,3.2,3.0,2.818036,4.0,3.783198,4.0,3.208
120,Forest Equator Belt,ForestEqCommune262,water,0.840305,need gap=0.859 potencies=0.786 trust=1.000 boundary penalty=0.991,3.52,3.151644,3.206606,3.60553,3.142258,3.88,3.005152,2.462205,3.436471,3.425546,4.0,3.296517
120,Delta Commons,DeltaComCommune139,water,0.839583,need gap=0.843 potencies=0.696 trust=1.000 boundary penalty=0.991,3.52,3.12199,3.159402,3.559402,2.785244,3.88,3.323684,3.078315,3.370574,3.241112,4.0,3.260951
120,Forest Equator Belt,ForestEqCommune655,energy,0.839484,need gap=0.981 potencies=0.808 trust=1.000 boundary penalty=0.991,3.12,3.019783,3.372378,3.683968,3.232545,3.2,3.001762,2.494686,3.925669,3.798064,4.0,3.208
120,Forest Equator Belt,ForestEqCommune645,water,0.839459,need gap=0.862 potencies=0.742 trust=1.000 boundary penalty=0.991,3.52,3.156162,3.212558,3.612558,2.966257,3.88,3.302037,2.292478,3.446512,3.408692,4.0,3.291147
120,Aqua North Basin,AquaNortCommune900,energy,0.838396,need gap=0.953 potencies=0.766 trust=1.000 boundary penalty=0.991,3.12,2.969523,3.293786,3.605786,3.064352,3.2,3.132871,3.491119,3.81398,3.385643,4.0,3.208
120,Aqua North Basin,AquaNortCommune368,energy,0.837864,need gap=0.967 potencies=0.685 trust=1.000 boundary penalty=0.991,3.12,2.993284,3.373968,3.642747,2.739067,3.2,3.095156,3.489334,3.866781,3.430374,4.0,3.208
120,Forest Equator Belt,ForestEqCommune022,energy,0.837322,need gap=1.000 potencies=0.816 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.580027,3.736,3.26256,3.2,2.682548,2.386167,4.0,3.477453,4.0,3.208
120,Aqua North Basin,AquaNortCommune313,food,0.837241,need gap=0.824 potencies=0.844 trust=1.000 boundary penalty=0.991,3.28,3.008346,3.067066,3.447066,3.375457,3.76,3.312763,3.475664,3.295808,3.163572,4.0,3.25221
120,Delta Commons,DeltaComCommune010,food,0.837057,need gap=0.841 potencies=0.824 trust=1.000 boundary penalty=0.991,3.28,3.038925,3.114634,3.494634,3.296948,3.76,3.268523,2.972355,3.363763,3.379096,4.0,3.294966
120,Delta Commons,DeltaComCommune891,energy,0.836606,need gap=0.942 potencies=0.814 trust=1.000 boundary penalty=0.991,3.12,2.9497,3.262951,3.574951,3.255748,3.2,3.164336,3.210699,3.769929,3.495738,4.0,3.208
120,Temperate Ring,TemperateCommune917,energy,0.836581,need gap=1.000 potencies=0.703 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.76228,3.736,2.812438,3.2,2.458342,2.530883,4.0,3.682232,4.0,3.208
120,Dryland Solar Arc,DrylandSCommune020,water,0.836356,need gap=0.846 potencies=0.574 trust=1.000 boundary penalty=0.991,3.52,3.127674,3.216566,3.568243,2.297191,3.88,3.439304,2.834801,3.383205,3.474089,4.0,3.315198
120,Temperate Ring,TemperateCommune872,energy,0.835096,need gap=1.000 potencies=0.695 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.668545,3.736,2.779741,3.2,2.728001,2.379669,4.0,3.668779,4.0,3.208
120,Island Commons,IslandCoCommune874,energy,0.834622,need gap=1.000 potencies=0.657 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.58301,3.736,2.626377,3.2,2.350993,3.020863,4.0,3.692695,4.0,3.208
120,Subpolar Storage Rim,SubpolarCommune669,energy,0.833527,need gap=1.000 potencies=0.598 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.609899,3.736,2.39313,3.2,3.0,2.548742,4.0,3.669526,4.0,3.208
120,Forest Equator Belt,ForestEqCommune139,water,0.83299,need gap=0.839 potencies=0.801 trust=1.000 boundary penalty=0.991,3.52,3.115501,3.159692,3.549308,3.202315,3.88,2.900934,2.710739,3.356154,3.199944,4.0,3.252974
120,Temperate Ring,TemperateCommune066,energy,0.832779,need gap=1.000 potencies=0.725 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.608269,3.736,2.901364,3.2,2.62622,2.242979,4.0,3.716437,4.0,3.208
120,Dryland Solar Arc,DrylandSCommune847,energy,0.830734,need gap=1.000 potencies=0.660 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.804,3.736,2.640294,3.2,2.714823,2.172905,4.0,3.553211,4.0,3.208
120,Subpolar Storage Rim,SubpolarCommune790,energy,0.830134,need gap=1.000 potencies=0.608 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.728798,3.736,2.432,3.2,2.941943,2.327907,4.0,3.506326,4.0,3.208
120,Highland Care Ring,HighlandCommune634,energy,0.829803,need gap=1.000 potencies=0.623 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.673585,3.736,2.493371,3.2,2.890989,2.304818,4.0,3.574061,4.0,3.208
120,Subpolar Storage Rim,SubpolarCommune747,food,0.829077,need gap=0.872 potencies=0.575 trust=1.000 boundary penalty=0.991,3.28,3.094713,3.239791,3.581415,2.300701,3.76,3.925382,2.34621,3.487736,3.35213,4.0,3.27213
120,Highland Care Ring,HighlandCommune824,energy,0.828864,need gap=0.968 potencies=0.805 trust=1.000 boundary penalty=0.991,3.12,2.994855,3.507384,3.645191,3.219893,3.2,2.78,2.165031,3.870273,3.669069,4.0,3.208
120,Temperate Ring,TemperateCommune021,energy,0.828074,need gap=1.000 potencies=0.638 trust=1.000 boundary penalty=0.991,3.12,3.053232,3.576727,3.736,2.550198,3.2,3.0,2.217276,4.0,3.546915,4.0,3.208
120,Steppe Grain Commons,SteppeGrCommune706,energy,0.826781,need gap=0.941 potencies=0.727 trust=1.000 boundary penalty=0.991,3.12,2.946555,3.294402,3.570057,2.907579,3.2,3.169329,2.985452,3.762939,3.461088,4.0,3.208
