step,population,wellbeing,unmet basic needs,average trust,average autonomy,average health,average education,average truth error,planetary overshoot,mean boundary pressure,worst boundary,worst boundary pressure,waste stock,repair materials,food stock,water stock,energy stock,global transfers,contribution time,contribution time per person,satisfaction inequality,resilience index,circularity index,coordination quality,basic buffer months,macro capacity,planetary reproduction index
22,8128683823.265,0.757019,0.356062,0.81328,0.734482,0.669743,0.697632,0.06504,0.0,0.842273,climate,0.933785,194570540.966,4198716413.57,18091460.605,14871697.257,59255353.985,106465091.793,3681803805.729,0.45294,0.061786,0.80063,0.955712,0.786615,0.003782,404594509623.249,0.806169
23,8129870502.282,0.760102,0.351162,0.821315,0.736155,0.669668,0.701628,0.061385,0.0,0.839004,climate,0.932623,194300945.613,4310337619.698,22573409.844,17056538.822,64910430.515,117196864.46,3686757589.735,0.453483,0.063506,0.800714,0.956866,0.790444,0.004286,423136446314.114,0.8087
24,8131055358.943,0.763104,0.346526,0.829379,0.737843,0.669707,0.705623,0.058076,0.0,0.835736,climate,0.93146,194059171.738,4422918514.688,29376371.803,29387052.0,69220488.763,133947567.533,3692122714.482,0.454077,0.065083,0.800874,0.957968,0.794178,0.005247,441818122659.732,0.811139
25,8132239160.693,0.766248,0.34159,0.837345,0.739548,0.669867,0.709599,0.054985,0.0,0.832473,energy throughput,0.931414,193798379.513,4536487935.636,35989621.827,49708942.225,73480956.001,183013263.023,3697915093.272,0.454723,0.066072,0.801087,0.95903,0.797814,0.006525,460646794524.777,0.813677
26,8133422024.534,0.769298,0.336899,0.845215,0.741269,0.670144,0.713559,0.05222,0.0,0.829213,energy throughput,0.931628,193530931.449,4651089357.819,42798826.896,74970053.049,80183020.396,240778788.575,3704109893.464,0.455418,0.067374,0.801352,0.960052,0.801319,0.008113,479628642032.972,0.816118
27,8134604532.12,0.772431,0.332077,0.853105,0.743007,0.670541,0.71751,0.04971,0.0,0.825954,energy throughput,0.93186,193274736.76,4766780527.819,56920085.196,84380961.826,87161870.862,284260585.273,3710712703.921,0.456164,0.06854,0.80156,0.961034,0.804755,0.009362,498768206615.472,0.818597
28,8135786690.079,0.775451,0.327536,0.860895,0.74476,0.671052,0.721461,0.04721,0.0,0.822695,energy throughput,0.932109,193069292.256,4883563840.575,64022045.194,91361894.886,94442908.663,316011080.471,3717714742.986,0.456958,0.069808,0.801706,0.961969,0.808154,0.010236,518067138542.379,0.820965
29,8136968678.442,0.778424,0.323122,0.868623,0.746529,0.671674,0.725403,0.044791,0.0,0.819434,energy throughput,0.932374,192854971.078,5001484098.929,71516058.284,100563343.262,101943240.706,344617190.681,3725110510.847,0.457801,0.071176,0.801871,0.962872,0.811507,0.011225,537526780666.85,0.823285
30,8138151129.372,0.781474,0.318483,0.875855,0.748314,0.672413,0.729341,0.042509,0.0,0.816172,energy throughput,0.932656,192630644.42,5120566654.452,78726313.348,108553969.343,109236545.28,379006233.728,3732934376.738,0.458696,0.072461,0.802024,0.963745,0.814651,0.012145,557151153826.099,0.825652
31,8139333992.545,0.784416,0.314061,0.882818,0.750114,0.673238,0.733279,0.040751,0.0,0.812908,energy throughput,0.932956,192430807.056,5241121020.475,87087109.184,115555285.99,116902353.9,415934423.668,3741045085.218,0.459625,0.07339,0.802181,0.964585,0.817547,0.013086,576936793882.603,0.827911
32,8140517817.814,0.78746,0.309398,0.889621,0.75193,0.674155,0.737217,0.039143,0.0,0.809643,energy throughput,0.933273,192196524.243,5363252540.41,97293280.191,122339948.911,124351433.007,451561538.012,3749471229.51,0.460594,0.074466,0.802348,0.965404,0.820343,0.014085,596883599530.938,0.830241
33,8141702624.984,0.790419,0.304901,0.896088,0.753762,0.675144,0.741154,0.037632,0.0,0.806376,energy throughput,0.933608,191972522.933,5486975363.012,110004710.82,129017738.765,132103877.088,487665045.153,3758115329.492,0.461588,0.075417,0.802532,0.966196,0.822995,0.015194,616994441512.779,0.832493
34,8142888916.748,0.793469,0.300133,0.902348,0.75561,0.676249,0.745087,0.036143,0.0,0.803108,energy throughput,0.933961,191731608.853,5611967164.72,122145389.656,137344343.253,142499450.376,526660014.767,3767193562.981,0.462636,0.076381,0.802743,0.966964,0.82557,0.016456,637272033487.217,0.834824
35,8144078557.838,0.797069,0.294059,0.908281,0.757475,0.677472,0.749019,0.03466,0.0,0.79984,energy throughput,0.934335,191377795.291,5738249886.023,134405721.961,154856726.173,151732614.372,576745975.875,3776682364.261,0.463734,0.077604,0.803008,0.967725,0.828033,0.01805,657720129377.75,0.837599
36,8145271463.782,0.800634,0.288051,0.914101,0.759358,0.67869,0.752949,0.033248,0.0,0.796572,energy throughput,0.934729,191031811.321,5865758962.978,145416953.795,167314020.313,161740197.913,629827293.587,3785995372.371,0.464809,0.078633,0.803236,0.96846,0.830436,0.019417,678340199236.541,0.840337
37,8146468170.151,0.804308,0.281734,0.919603,0.76126,0.679993,0.756877,0.032017,0.0,0.793308,energy throughput,0.935144,190661371.359,5994514916.775,156466160.714,181850982.688,172058285.27,683100761.449,3795569249.861,0.465916,0.079413,0.803481,0.969174,0.832676,0.020883,699128201911.301,0.843158
38,8147669784.726,0.808256,0.274809,0.924972,0.763184,0.681408,0.760799,0.031075,0.0,0.790048,energy throughput,0.935581,190241205.985,6124530719.502,168576346.463,195708754.868,180245126.21,742638401.263,3805650045.997,0.467084,0.080319,0.803713,0.969874,0.834785,0.022278,720084714145.819,0.846179
39,8148874895.123,0.81159,0.269318,0.930176,0.765126,0.68287,0.764688,0.030257,0.0,0.786791,energy throughput,0.936039,189980940.119,6255774907.415,182831484.862,208536521.233,188883604.692,800340186.34,3816000357.83,0.468286,0.081101,0.803956,0.970526,0.8368,0.023735,741212744907.182,0.848687
40,8150083755.625,0.814873,0.263947,0.935134,0.767085,0.684432,0.768498,0.02945,0.0,0.783535,energy throughput,0.936521,189741176.075,6388378007.111,198566009.768,231960176.349,197061521.968,869276461.605,3826768809.928,0.469537,0.081541,0.804278,0.971156,0.838729,0.025668,762514524622.62,0.851147
41,8151296872.422,0.818294,0.258222,0.939781,0.769063,0.686031,0.772307,0.028654,0.0,0.780283,energy throughput,0.937028,189451547.876,6522378141.988,215906971.786,253532307.2,205601032.197,948561256.459,3837632501.113,0.4708,0.082092,0.804601,0.971773,0.840548,0.027605,783994593021.486,0.853715
42,8152514162.113,0.821564,0.252763,0.943904,0.771058,0.687656,0.776071,0.027936,0.0,0.777032,energy throughput,0.937559,189180373.183,6657773569.469,236615601.366,275933552.904,214079151.463,1027026673.838,3848501926.209,0.472063,0.082729,0.804952,0.97237,0.842166,0.02971,805650815097.819,0.856159
43,8153735254.36,0.824693,0.247547,0.947685,0.77307,0.689228,0.779792,0.027299,0.0,0.773785,energy throughput,0.938115,188935364.668,6794591770.108,261095076.723,292006092.075,222615715.691,1103786225.683,3859009737.564,0.473281,0.082939,0.805285,0.972946,0.843643,0.031712,827476403721.348,0.858488
44,8154960224.791,0.827789,0.242336,0.951165,0.7751,0.69081,0.783463,0.026723,0.0,0.77054,energy throughput,0.938694,188699549.881,6932834104.375,285731566.662,304194049.558,230759475.578,1176916071.459,3869748202.319,0.474527,0.082566,0.805591,0.973503,0.845,0.033545,849462102004.114,0.86079
45,8156189179.056,0.830845,0.237234,0.954563,0.777146,0.692449,0.787118,0.026211,0.0,0.7673,energy throughput,0.939295,188460704.078,7072524429.594,305594432.081,317752518.676,238701957.946,1246849145.948,3880646380.803,0.475792,0.082383,0.805839,0.974045,0.84631,0.035231,871605764365.332,0.863045
46,8157421626.47,0.833702,0.232589,0.957823,0.779206,0.694086,0.790771,0.025702,0.0,0.764062,energy throughput,0.939919,188238155.965,7213682256.01,322106477.171,333488401.202,246858173.961,1311852993.96,3891677364.89,0.477072,0.080981,0.806053,0.974569,0.847572,0.036877,893907757892.182,0.865131
47,8158657318.618,0.836448,0.228195,0.960962,0.781277,0.695727,0.794423,0.025252,0.0,0.760826,energy throughput,0.940563,188028459.053,7356337895.47,337327741.843,349053198.598,254836540.365,1370112121.222,3902699792.563,0.478351,0.080913,0.806259,0.975077,0.848775,0.038455,916366530614.317,0.867119
48,8159896234.981,0.839089,0.224026,0.963792,0.783363,0.697425,0.798065,0.024871,0.0,0.757592,energy throughput,0.941227,187828963.247,7500449100.917,350345331.652,361732888.568,262362746.777,1429460207.069,3913878887.126,0.479648,0.078913,0.806423,0.975569,0.849852,0.039806,938980101782.482,0.869008
49,8161137991.188,0.841481,0.220421,0.966407,0.785462,0.699216,0.801696,0.024489,0.0,0.75436,energy throughput,0.941911,187675009.695,7646029481.912,361767580.818,372649606.792,269664988.622,1482974719.498,3925457441.553,0.480994,0.0788,0.806568,0.976043,0.850857,0.041011,961742439694.705,0.870688
50,8162382671.303,0.843791,0.216981,0.968728,0.787574,0.701097,0.805321,0.024146,0.0,0.751129,energy throughput,0.942613,187524276.464,7793133923.689,371224236.466,382790704.924,277181628.08,1531702472.87,3937325927.055,0.482375,0.078489,0.806703,0.976503,0.85175,0.042112,984653335741.501,0.872293
51,8163630475.688,0.846129,0.213473,0.971017,0.789699,0.703004,0.808918,0.023866,0.0,0.7479,energy throughput,0.943334,187358701.116,7941730050.998,379586591.377,392789160.681,285152464.538,1578135287.086,3949374347.635,0.483777,0.078721,0.806837,0.976952,0.852613,0.04318,1007712063834.778,0.873917
52,8164881932.181,0.848579,0.20969,0.973255,0.791835,0.70499,0.812486,0.023676,0.0,0.744671,energy throughput,0.944073,187169808.928,8091859656.881,387773479.069,403937221.106,294790133.446,1623372609.854,3961762982.419,0.48522,0.078601,0.806991,0.977392,0.853432,0.044357,1030919837067.528,0.875632
53,8166138473.938,0.851481,0.204789,0.975183,0.793978,0.707075,0.816051,0.023484,0.0,0.741445,energy throughput,0.944831,186875511.253,8243525049.486,395735704.502,417420666.487,306752029.568,1669793191.202,3974531840.656,0.486709,0.078538,0.807177,0.977833,0.854146,0.045714,1054280692847.289,0.87772
54,8167402078.011,0.855011,0.198414,0.976912,0.796137,0.709233,0.81958,0.023293,0.0,0.738224,energy throughput,0.945608,186440636.551,8396703741.006,405715139.643,429075881.207,317936741.681,1719444088.705,3987528675.234,0.488225,0.078386,0.807356,0.978278,0.854792,0.047046,1077796666205.18,0.880313
55,8168672391.245,0.858256,0.192736,0.978598,0.798313,0.711505,0.823075,0.023102,0.0,0.735009,energy throughput,0.946405,186067239.507,8551315908.83,418598900.708,444663220.283,328895918.615,1769971765.638,4000914905.488,0.489788,0.078077,0.807578,0.978704,0.855423,0.048648,1101468054114.375,0.882668
56,8169949964.953,0.861615,0.186824,0.980246,0.800509,0.713809,0.826531,0.022909,0.0,0.731799,energy throughput,0.947224,185668867.64,8707448352.279,432024618.907,463063162.343,338968418.31,1831980733.21,4014417048.183,0.491364,0.077493,0.807817,0.979122,0.856042,0.050349,1125298901997.51,0.885107
57,8171234071.835,0.864711,0.18151,0.981766,0.802719,0.716059,0.829954,0.022714,0.0,0.728595,energy throughput,0.948065,185358499.74,8865074495.277,448830324.565,479134542.801,348175539.797,1898332913.629,4027531471.517,0.492891,0.076789,0.808039,0.979519,0.856619,0.052058,1149289660850.462,0.887329
58,8172524485.866,0.867666,0.176515,0.983218,0.80494,0.718365,0.833366,0.022517,0.0,0.725396,energy throughput,0.948928,185111662.522,9024301790.768,466895339.943,491885518.777,356560304.464,1966076682.165,4040893850.98,0.494449,0.076243,0.808221,0.9799,0.857172,0.053649,1173434733999.222,0.88943
59,8173820877.896,0.870414,0.172001,0.984575,0.807162,0.720755,0.836774,0.022318,0.0,0.722201,energy throughput,0.949812,184896829.735,9185193642.358,483837201.174,511063585.343,365738572.652,2029677657.349,4054596109.394,0.496047,0.074698,0.808448,0.980267,0.857694,0.055488,1197734690495.376,0.891361
60,8175124180.441,0.873373,0.167027,0.985856,0.809386,0.723261,0.840178,0.022118,0.0,0.719011,energy throughput,0.950719,184621357.727,9347734911.083,498203359.38,531948419.746,374890768.479,2096355821.942,4068781656.681,0.497703,0.073967,0.80868,0.980632,0.858191,0.057289,1222193288172.557,0.893455
61,8176434619.044,0.876279,0.162198,0.987076,0.811607,0.725879,0.843567,0.021938,0.0,0.715824,energy throughput,0.951649,184349799.767,9511882077.43,510298779.15,549587417.91,385237168.452,2164318288.3,4083355999.551,0.499405,0.07343,0.808891,0.980987,0.85866,0.058914,1246814059208.77,0.895496
62,8177752922.745,0.87934,0.157005,0.988182,0.813808,0.728563,0.846926,0.02176,0.0,0.712642,energy throughput,0.9526,184033884.422,9677660330.689,522082140.791,565409725.425,395737295.854,2226534967.206,4098193491.844,0.501139,0.072047,0.809095,0.981339,0.859091,0.060458,1271599347411.789,0.897658
63,8179079558.686,0.882382,0.15188,0.989146,0.816003,0.731366,0.850227,0.02158,0.0,0.709464,energy throughput,0.953573,183716985.497,9845080358.075,533907390.425,580436272.724,405489882.849,2285906344.797,4113374379.71,0.502914,0.070813,0.809297,0.981681,0.859473,0.06194,1296550079073.412,0.899794
64,8180414322.661,0.885238,0.147188,0.990079,0.818192,0.734275,0.853505,0.021398,0.0,0.706288,energy throughput,0.954568,183457343.838,10014147335.425,547010677.987,595035755.174,416705921.255,2348027003.515,4128859371.611,0.504725,0.069978,0.809511,0.98201,0.859846,0.063516,1321667623508.309,0.901777
65,8181758809.773,0.888551,0.141435,0.990833,0.8204,0.737298,0.856781,0.021215,0.0,0.703116,energy throughput,0.955585,183110859.46,10184921821.338,560653885.537,611833420.248,426989913.407,2412943879.887,4144715431.006,0.50658,0.068558,0.80973,0.982339,0.860158,0.065164,1346954574867.069,0.904124
66,8183112359.493,0.891563,0.136391,0.991508,0.822616,0.740371,0.860055,0.021031,0.0,0.699948,energy throughput,0.956625,182832235.348,10357334090.244,575376845.88,632896668.791,437734097.925,2477413325.167,4160589973.993,0.508436,0.06723,0.809987,0.982654,0.860444,0.067049,1372412467474.267,0.906225
67,8184475873.666,0.894735,0.130995,0.992154,0.82485,0.743563,0.863257,0.020844,0.0,0.696782,energy throughput,0.957688,182519831.346,10531441957.012,590875182.139,655775761.297,448454155.621,2545689009.211,4176852278.78,0.510338,0.066159,0.810261,0.982964,0.86072,0.069037,1398042128278.982,0.90845
68,8185850233.727,0.898082,0.125242,0.992772,0.827101,0.746878,0.86644,0.020657,0.0,0.693621,energy throughput,0.958776,182180269.758,10707235370.295,605360322.0,677677952.139,458655384.839,2621510346.455,4193605670.861,0.512299,0.065057,0.810516,0.98327,0.860988,0.070923,1423847316870.186,0.910804
69,8187235365.418,0.90129,0.119849,0.993368,0.82937,0.750262,0.869586,0.020468,0.0,0.690463,energy throughput,0.95989,181873540.317,10884712220.36,620470847.495,699447100.507,469048912.679,2701576611.255,4210810589.552,0.514314,0.063706,0.810775,0.983566,0.861248,0.072836,1449832096110.159,0.913035
70,8188631590.976,0.904553,0.114305,0.993955,0.831654,0.75366,0.872655,0.020319,0.0,0.687309,energy throughput,0.96103,181564655.523,11063916337.714,636678699.293,723219570.431,481450119.579,2782305568.401,4228434398.888,0.516379,0.062396,0.811065,0.983854,0.861493,0.074955,1476000254192.959,0.915316
71,8190040727.354,0.908368,0.107498,0.994536,0.833957,0.757154,0.875697,0.020201,0.0,0.684159,energy throughput,0.962197,181158655.251,11244899440.44,652903188.362,748752437.796,493645609.363,2871112752.561,4246357308.093,0.518478,0.060341,0.811357,0.984145,0.861727,0.077138,1502356016436.243,0.91804
72,8191463321.921,0.912252,0.100547,0.995034,0.836269,0.760756,0.878723,0.020171,0.0,0.681012,energy throughput,0.963394,180761945.452,11427585422.324,673188942.148,773006896.43,505772710.757,2963213170.809,4264840096.399,0.520644,0.057752,0.811651,0.984428,0.861906,0.079431,1528901709484.26,0.920809
73,8192899622.629,0.91623,0.093365,0.995538,0.838592,0.764318,0.881721,0.020161,0.0,0.677871,energy throughput,0.96462,180353569.792,11612017393.208,695643985.009,802309884.925,518484252.561,3061300338.741,4283296680.348,0.522806,0.054063,0.811931,0.984706,0.862081,0.08204,1555639898028.98,0.923656
74,8194350997.938,0.920559,0.08542,0.996046,0.840917,0.767999,0.8847,0.020151,0.0,0.674735,energy throughput,0.965878,179870386.715,11798206514.958,717332257.688,830635096.758,529565953.276,3168352364.137,4302099846.706,0.525008,0.05168,0.812151,0.984983,0.862258,0.084511,1582571484833.659,0.926771
75,8195816284.42,0.924348,0.078785,0.996545,0.843236,0.771734,0.887642,0.020141,0.0,0.671603,energy throughput,0.967166,179491832.937,11986105899.46,736202430.106,859169790.342,541146461.805,3271752335.007,4320890138.081,0.527207,0.049772,0.812331,0.985246,0.862431,0.086895,1609699292791.657,0.929431
76,8197295288.434,0.927988,0.072439,0.996967,0.845573,0.775587,0.890574,0.020131,0.0,0.668473,energy throughput,0.968483,179131603.698,12176166157.116,753718936.777,883849649.909,558232176.032,3360584314.851,4340203872.467,0.529468,0.047796,0.812513,0.985502,0.862579,0.08929,1637020287946.416,0.931979
77,8198787829.775,0.931741,0.065364,0.997368,0.847917,0.779552,0.893487,0.02012,0.0,0.665345,energy throughput,0.969828,178813856.535,12368275764.285,792778039.013,907181769.215,602538194.807,3445670439.529,4359991144.328,0.531785,0.045327,0.812945,0.985749,0.862719,0.093611,1664541329671.291,0.93474
78,8200292301.689,0.934799,0.05992,0.997683,0.850262,0.78361,0.896393,0.02011,0.0,0.662215,energy throughput,0.97119,178506248.976,12562761670.542,909225640.522,934910667.22,655408248.546,3495097318.023,4380061881.48,0.534135,0.043477,0.813809,0.98599,0.86283,0.101604,1692281285127.604,0.936964
79,8201807352.878,0.937291,0.055816,0.997988,0.852612,0.78774,0.899297,0.020099,0.0,0.659078,energy throughput,0.972564,178177664.024,12759936098.125,1052046365.362,963787876.992,718754720.307,3510743746.994,4400408885.095,0.536517,0.041947,0.814905,0.986228,0.862937,0.111138,1720259431265.528,0.938741
80,8203332874.785,0.939706,0.051893,0.998272,0.854967,0.791902,0.902197,0.020089,0.0,0.655931,energy throughput,0.973947,177864362.677,12959923387.101,1227094261.155,990122579.244,788438624.841,3525790939.019,4420961891.889,0.538923,0.040455,0.816147,0.986462,0.863038,0.122131,1748490866138.12,0.940466
81,8204870851.197,0.942808,0.046366,0.998526,0.857323,0.796077,0.905072,0.020078,0.0,0.652777,energy throughput,0.975346,177399910.865,13162909499.033,1508877701.05,1035833027.323,848306749.197,3559621936.539,4441545525.329,0.54133,0.03845,0.818252,0.986702,0.863128,0.137846,1776993701672.58,0.942819
82,8206420310.92,0.945548,0.041675,0.998728,0.859689,0.800238,0.907931,0.020067,0.0,0.649609,energy throughput,0.97676,177014116.886,13368785840.162,1771885397.898,1069374436.333,926333302.111,3588352916.565,4462078298.233,0.54373,0.036464,0.82033,0.986932,0.863201,0.153034,1805792991365.719,0.944874
83,8207977043.552,0.946853,0.040282,0.998864,0.862038,0.804258,0.910766,0.020056,0.0,0.646424,energy throughput,0.978174,176938432.56,13577764516.342,2107176389.674,1157576319.192,1000743259.426,3537044444.971,4481886409.858,0.54604,0.035719,0.823086,0.987136,0.863251,0.173226,1834875678206.531,0.945822
84,8209540120.146,0.947873,0.039505,0.998984,0.864313,0.808192,0.91358,0.020045,0.0,0.643219,energy throughput,0.979587,176920369.961,13789977988.207,2467927022.157,1306968168.397,1080912380.587,3466976273.605,4500972757.519,0.548261,0.035199,0.826459,0.987333,0.863296,0.197161,1864250569121.271,0.946597
85,8211109597.529,0.948885,0.038726,0.999094,0.866557,0.812112,0.916344,0.020033,0.0,0.639991,energy throughput,0.980998,176901690.232,14005706322.973,2751276058.976,1502749070.694,1176846579.631,3398616017.568,4519920953.798,0.550464,0.034684,0.829719,0.987527,0.863338,0.220468,1893934244664.688,0.94736
86,8212685812.135,0.949988,0.037729,0.999205,0.868786,0.816029,0.919072,0.020022,0.0,0.636739,energy throughput,0.982402,176862711.147,14225392265.379,3028737352.421,1712010736.628,1274917625.218,3314391390.242,4538830739.355,0.552661,0.034056,0.832756,0.98772,0.86338,0.244162,1923918964406.357,0.948181
87,8214268359.669,0.951026,0.036835,0.999316,0.870996,0.819778,0.921714,0.02001,0.0,0.633466,energy throughput,0.983799,176833400.863,14448849520.255,3362871989.03,1956297398.468,1365848970.969,3237965620.352,4556934427.582,0.554758,0.033491,0.835965,0.987909,0.863422,0.271277,1954186645182.453,0.948973
88,8215857013.829,0.952019,0.036025,0.999428,0.873208,0.823454,0.924318,0.02,0.0,0.630172,energy throughput,0.985191,176811774.34,14676004448.447,3751107455.312,2206966331.288,1452802017.674,3168458217.147,4574755822.838,0.55682,0.032966,0.839433,0.988096,0.863463,0.300674,1984753070955.565,0.949753
89,8217451978.291,0.952971,0.0353,0.999514,0.875402,0.827134,0.926794,0.02,0.0,0.626855,energy throughput,0.986579,176798519.466,14907232420.188,4196817961.232,2444895409.753,1537603650.338,3105809545.694,4592586003.819,0.558882,0.032466,0.843115,0.988279,0.863493,0.331786,2015610783167.76,0.950518
90,8219053494.703,0.953945,0.034503,0.999597,0.87756,0.830777,0.929152,0.02,0.0,0.623931,energy throughput,0.987964,176791883.265,15143144693.734,4644104105.9,2639526164.12,1629778488.225,3038550978.891,4610215669.233,0.560918,0.031936,0.846181,0.98846,0.863522,0.361494,2046767257900.03,0.951255
