step,mode,agency,freedom_from_harm,truth,causal_integrity,norm_alignment,hierarchy_legitimacy,behavior_cooperation,repair_capacity,help_potential,resource_resilience,material_output,liquidity,fairness,consent_quality,reversibility
17,gmoe,96.75056268491457,91.65764952147444,90.69021791230617,71.50900238829098,68.61244570456529,63.97036401006339,67.23299388074172,80.75006671728367,82.43067243165333,87.3976413470447,90.43974520910376,67.21146908554849,80.78437221365283,64.10884385888765,65.24230881127565
18,gmoe,98.45971151141168,94.10827833044776,91.41461565554373,72.80140821316486,71.45446112796851,64.99119806622193,68.84867393911594,82.79533696757879,84.36097012164733,89.05406424853308,91.21411799937547,68.1731165076363,83.24353506140058,65.27776089591138,66.41336259033561
19,gmoe,98.82063472810718,94.7038695419935,91.66353778871674,74.476886928215,73.60682888038987,65.6775579420411,70.88461573210449,84.00073626928808,85.92985280041813,89.75139809159118,92.13054475623869,68.89704265412091,85.1763392393602,66.48825338324302,67.28912100007824
20,gmoe,99.56278567307935,97.18996431099438,91.99718889679608,75.13294553578045,75.06905882195804,67.32232810802896,72.79567666468816,86.33174551533205,87.84910454196722,90.73480136001893,92.63160996343223,70.48234819962973,87.79492915008265,68.20602054033756,68.37396823809178
21,gmoe,99.83034474830963,98.22658435464417,92.08722877460617,75.86116301599284,77.14731804130966,68.97795290898071,75.72419352846453,87.54013756908691,90.19280599327917,92.05603057665232,93.09492044799293,70.814938661792,89.82215165458963,70.15112718016387,69.25314780588116
22,gmoe,99.94874096466083,98.73815012794778,92.24088520214926,76.25536775445688,78.26870737271727,69.26474193117856,77.55267563256416,89.37494295132497,91.67690473163094,93.20478976357502,94.4424125378539,71.74651813100877,91.62076070839066,71.58075748904892,70.48495215567024
23,gmoe,99.97198836928831,98.91285107230343,92.68295553375101,76.39250751379154,80.31147632734937,70.09779407670608,79.12164503012947,90.15396394511599,92.32101306132941,93.78533199489718,94.47764389052945,73.10877321961573,93.61774473024774,72.77996701628827,71.12846059045754
24,gmoe,99.98852669888814,98.9409982273623,92.71857482442225,77.44512619905122,81.80779631337502,72.30748434135742,79.96222877015154,91.45608381656729,92.89238041430913,94.62043980602138,95.23900776229546,73.90823751352431,94.65937914987299,73.6352250769972,72.22069142273699
25,gmoe,99.99546949053598,98.94871338089794,93.04924278970539,78.28165586407961,82.28906114547695,73.14275396227893,80.42470269454307,92.1786090658731,93.7437520845786,95.07662477774304,95.58435313726342,74.52720451045954,95.35423002814005,74.10019552929546,73.2928250244992
26,gmoe,99.99922888365647,99.39002021862305,93.14569501438322,79.21331377981167,82.99593394800199,73.45255329940726,81.19610117396792,93.47145175969992,94.42861819517762,95.56375398228886,96.50195129402353,75.355494883451,96.01590497973487,74.73918950951125,74.39140489982587
27,gmoe,99.99979784776912,99.59212545442468,93.40239833584937,80.269463763358,84.0251854386191,74.80010255599905,82.05292075276347,94.02516562141412,95.19241663801562,95.88002009953017,97.10881499451992,75.69493919238064,96.71286785357765,75.70148166885012,75.36382475884793
28,gmoe,99.99987366339107,99.59318578726757,93.44272278134112,80.87571039122392,85.3356816125568,76.48538785457757,83.74466336334889,94.33011294307587,95.355752871886,95.94016744390872,97.23789859938032,76.50324274177792,96.97970840613888,77.13568145949591,76.08496614732852
29,gmoe,99.99992025961907,99.95450896830228,93.48275319129222,82.4837036619089,86.39214164398844,77.84289550629629,83.95440541563073,95.41854449088308,96.22167659948418,96.02778324042126,97.37340443926209,76.987589578602,97.112485714794,77.66334127564804,77.55037612629806
30,gmoe,99.99996728299493,99.98790530207273,93.52239687699311,84.0266822644335,86.95701557347465,78.10150607282539,84.24026191050368,96.39390392924197,96.73503454236952,96.24426630271766,97.49400458701805,77.06139387942683,97.32901089986699,77.85857809973402,78.45893815629336
31,gmoe,99.99999143033104,99.99504968356773,93.57764556777832,85.2892608647128,87.68438358355077,78.3932419200244,85.37771323058669,97.13423703867413,97.25089635304771,96.24937880023474,97.52262120302082,77.79263565773127,97.68980124840971,78.70918243577754,79.69162532904238
32,gmoe,99.99999649344565,99.997929621136,94.18412996176758,86.09308403333497,88.95366161223134,79.22980615626152,86.73024416078235,97.67587958687672,97.82816127229748,96.80704862197574,98.34762516805256,78.8082306383721,97.85545676193156,79.83039270540199,80.15435469350209
33,gmoe,99.99999776057271,99.99912535024288,94.22000979068314,86.33000770283257,89.35198284680625,79.95140309656509,87.4339680286967,98.23843575025778,98.13286264194178,96.80721454994315,98.35012791665363,79.12266185199942,97.98276311350205,80.55900792409734,81.19571985903829
34,gmoe,99.99999908288265,99.99962442561602,94.90711393874362,87.7172600076631,91.08757930531826,81.51387718218584,88.40603550550325,98.47380149277625,98.64359433945647,97.07732168665537,98.94409320691037,79.4798645354006,98.16313177274178,81.58611826058639,81.8709789909939
35,gmoe,99.99999962444505,99.99983514715436,95.90855486522355,88.5885483990902,91.29417979941087,81.80681167558033,88.86907661465733,98.93909697436544,99.03493513058045,97.12168754077325,98.94562662866826,80.04480421609847,98.55834466743919,82.67687660781876,82.78792278951174
36,gmoe,99.99999990156238,99.99992535663827,96.51727313913696,88.98138074789183,91.88795971636725,82.16585158521264,89.66799187765483,99.38757320820022,99.3395100833219,97.23091084490073,98.94562917978966,80.70107754714675,98.80342133638112,84.20645739989733,83.52250252255487
37,gmoe,99.99999995967579,99.99995222875134,96.84801875139216,89.42072893366053,92.10709613982576,82.88471592148831,90.70522438815905,99.54172260907363,99.6607919740224,97.23093764013517,98.9462513533951,81.75597454268235,99.02880627491895,85.42635590048124,84.38727519341106
38,gmoe,99.9999999834851,99.99996942641624,96.8895933079478,90.41116624994402,92.3963836893474,83.60182846729046,91.0133908004283,99.70670247301416,99.86614179204688,97.52259672400216,99.32560086617285,82.08377195191188,99.14974887204679,86.10561495699194,85.59904217323574
39,gmoe,99.999999993236,99.99998748382818,97.15928321180303,90.95880275608076,92.41909087474482,83.90533816511956,91.61097853988308,99.87986700491065,99.94569150543677,98.0466338961421,99.48014652137822,82.70478420398567,99.33370698321797,87.334844268538,86.47215787112358
40,gmoe,99.99999999822654,99.9999948733728,97.92372086326017,91.54106523174148,92.85503824001462,84.93731374949274,92.60419065463346,99.9507935245387,99.97754222427734,98.144941729501,99.48014664728746,83.61509047605018,99.65986006520654,89.0763095529132,87.23161430738067
41,gmoe,99.99999999927368,99.99999845683325,98.76796151482183,92.3324382222802,92.99499853785328,85.28999569458031,92.87504680804994,99.98670149651495,99.99088847084207,98.1654731573955,99.48016335826445,84.03058033717059,99.89337678321745,89.76795463487932,88.55540596859355
42,gmoe,99.99999999980957,99.99999924115812,98.82019809326185,92.90525702561519,93.71226767694881,86.2816027501614,93.54334114811476,99.9942975557426,99.99424183778622,98.25390668076666,99.48018086877967,84.9293320930677,99.98211159260987,91.03291562692377,89.61452824132536
43,gmoe,99.99999999987816,99.99999936821943,98.85644658277178,93.64805764143155,93.71819282581693,86.60591828327512,93.89601110866934,99.99455300674246,99.99632707500106,98.25390668837107,99.48018524140102,85.95659521880967,99.98855141927247,91.61540924439682,90.3623459346315
44,gmoe,99.99999999995009,99.99999959566087,98.9652318089427,94.13969892421167,94.29084928770882,86.95333078487157,94.53567881939463,99.99651392435086,99.9984962072417,98.41934929756948,99.56457160057703,86.48919114401563,99.99531066133405,92.11701859914812,91.38509575883316
45,gmoe,99.99999999997956,99.99999977465814,99.03173148457772,94.187838451875,94.35630854820658,87.21436503738505,94.98417035625866,99.99783590806518,99.99903783621905,98.74916418169173,99.63814157280842,86.8403709325865,99.9980792468822,92.40328388858039,92.23887697855034
46,gmoe,99.99999999998691,99.99999985580169,99.41662233409133,94.56388308114836,94.43756511344137,87.68802079920302,95.1200260975829,99.99861498621662,99.99938439224093,98.74916418674766,99.63814271995692,87.0115011759328,99.9992132595228,92.46223655749807,92.63406998269745
47,gmoe,99.99999999999162,99.9999999164581,99.47926819858675,95.13061592740036,94.43990399384593,88.11273206067278,95.27107464353429,99.99913114900862,99.99960604096,98.86763819719695,99.63814392198415,87.82757758774284,99.99979376070428,92.61403072012178,93.54977481026519
48,gmoe,99.99999999999463,99.9999999722334,99.55418279470432,95.310715790795,94.44116119911924,88.5085939591435,95.29228903731226,99.9997604434916,99.99974787847182,98.89199376375892,99.63814422280387,87.94478877099371,99.99986800685078,92.63495869146561,94.1759588799379
49,gmoe,99.99999999999656,99.99999999172617,99.67524020714079,95.57481058203386,94.4419112267874,88.735417617347,95.31313276143756,99.99996363936397,99.9998967260011,99.09793192843459,99.7371683826565,88.05362524208866,99.99991552438453,92.64079867491533,94.90478295702027
50,gmoe,99.9999999999986,99.99999999754759,99.76700082874399,95.60640681006555,94.44230882736895,89.20429486211331,95.37424735675623,99.99998699134228,99.99995769100813,99.42267643421243,99.83178764193302,88.41767626309877,99.99997785522426,92.71384375976598,95.34457045990423
51,gmoe,99.9999999999991,99.9033989430289,99.7838589717142,95.60668458048275,94.8527406553401,89.41886307517822,95.56123473533134,99.98123475565009,99.99995769593112,99.29463444400866,99.83178764197545,88.88178151207063,99.99999092949986,92.85114666268741,95.84994986946427
52,gmoe,99.99999999999963,99.9604322057834,99.87694591393623,95.7754317119399,95.55667973792534,89.65134446066338,95.85945010818969,99.99230812821344,99.99997292539591,99.33957064907713,99.83178764199384,89.23441008821929,99.9999976222228,93.0840951047051,96.2543232085668
53,gmoe,99.99999999999984,99.99336162486267,99.97651901257628,95.83144170481269,95.5566917315115,89.79479369429343,95.97259036251671,99.99870735218744,99.99998891092169,99.38633174243358,99.83178764206252,89.78953661237611,99.99999937667998,93.19082989970116,96.79806225742843
54,gmoe,99.9999999999999,99.99336162532435,99.98497216804881,95.84029178301678,95.5567537575189,89.9778131660518,95.97259036251671,99.99870908082504,99.99999290248002,99.386331742434,99.8317876420656,89.78953661237611,99.99999960107519,93.19082989970116,97.07409169075196
55,gmoe,99.9999999999999,99.99336162535617,99.99606054402099,96.15267288722366,95.70357296908685,90.08221352253975,95.97259036251671,99.99870947264245,99.99999290255498,99.4351900599244,99.8317876420656,89.9692020505352,99.99999974468811,93.19082989970116,97.21937525044248
56,gmoe,99.9999999999999,99.99336162560988,99.99606054402099,96.16009446455129,95.70357425687556,90.78737521599278,95.97449523651758,99.99871006461457,99.99999290259336,99.51127011140781,99.83178764206885,90.06822635500927,99.9999998366004,93.19090475431923,97.39447422146574
57,gmoe,99.9999999999999,99.99575144022756,99.99747874817344,96.1850087077289,95.7035747843538,91.06261965900782,95.97649459226889,99.99917406240009,99.99999290259338,99.53241301617564,99.83178764206885,90.14660539730164,99.9999998366004,93.19415810010244,97.40863462047466
58,gmoe,99.9999999999999,99.99575144022756,99.998386398831,96.26207604506432,95.74073962511589,91.3200443269275,95.97699394355895,99.99917406240009,99.99999290259338,99.53241301617564,99.83178764206885,90.14660539730164,99.99999989542425,93.19416575773717,97.40863462047466
59,gmoe,99.9999999999999,99.99575144022756,99.99896729525184,96.30505898730729,95.74073962514717,91.32666347393308,95.97699394571897,99.99917406240009,99.99999290259338,99.56302733804425,99.83178764206885,90.27194019921015,99.99999989542425,93.19622827634942,97.4263903353953
60,gmoe,99.99999999999997,99.99575144048552,99.99957700413515,96.30505898730729,95.84456049509097,91.51464635404609,96.2696177137448,99.99917458102145,99.99999709205802,99.63262247852225,99.83178764206885,90.27194019921015,99.9999999725861,93.40109576006671,97.58037815831882
61,gmoe,99.99999999999997,99.99575144059119,99.999889114172,96.33809791609397,95.84456053133901,91.5793847834721,96.30694422725854,99.99917479344876,99.99999813840238,99.76923795543716,99.83178764206885,90.56306873835521,99.9999999928136,93.44959159004745,97.7890207932954
62,gmoe,99.99999999999997,99.99575144059119,99.99995458116486,96.50234652207992,95.91448757864889,91.72751249483846,96.30707512920313,99.99917479344876,99.99999813840238,99.7958016013973,99.83178764206885,90.6724844240371,99.99999999540071,93.44959488218838,97.81287383723462
63,gmoe,99.99999999999999,99.99575144059119,99.99998139644512,96.50234652207992,95.98485061462316,92.14087303485816,96.45505996977701,99.99917479344876,99.99999880806276,99.7958016013973,99.83178764206885,90.6724844240371,99.99999999811612,93.62780307443111,97.87885280373096
64,gmoe,99.99999999999999,99.85057595823679,99.9999951231897,96.54080556474297,95.98485061462316,92.14087303485816,96.45505996977701,99.96698229215968,99.9999995109383,99.48569644742665,99.83178764206885,90.78316580018972,99.99999999922836,93.69263209805665,97.92461955300108
65,gmoe,99.99999999999999,99.93628756306211,99.99999800245851,96.57227711473674,95.98485061462316,92.14087303485816,96.45505996977701,99.985988831931,99.99999968648574,99.67498276477895,99.8923439679874,90.87479369640974,99.99999999950616,93.69263209805665,98.10793282598254
66,gmoe,99.99999999999999,99.95769455899895,99.99999966486814,96.85808507124858,95.98485061462316,92.14087303485816,96.63102153319453,99.99073583113241,99.99999991675905,99.77284139655957,99.9311000165753,91.18573585681324,99.99999999987054,93.85966006671845,98.24582001212538
67,gmoe,99.99999999999999,99.97139503639855,99.99999978551561,96.85808507124858,96.0711694993141,92.14087303485816,96.9428435504736,99.99377391062131,99.99999994621103,99.83547092089916,99.9311000165753,91.18573585681324,99.99999999994697,94.02025745920132,98.35104953596792
68,gmoe,99.99999999999999,99.98577505747716,99.9999999437742,97.38595283593921,96.0711694993141,92.14087303485816,96.9428435504736,99.99696267885287,99.99999997712382,99.91762482367449,99.95590388767155,91.27234069159857,99.99999999997827,94.02025745920132,98.61532542749401
69,gmoe,99.99999999999999,99.99166511411096,99.9999999961362,97.83318626830459,96.0711694993141,92.14087303485816,97.03140736429114,99.99826879832052,99.99999999294809,99.93916097636362,99.97177836517315,91.84502284723433,99.9999999999943,94.13307000055102,98.85441435574488
70,gmoe,99.99999999999999,99.99166511411096,99.9999999961362,97.83318626830459,96.0711694993141,92.14087303485816,97.03140736429114,99.99826879832052,99.99999999294809,99.93916097636362,99.97177836517315,91.84502284723433,99.9999999999943,94.13307000055102,98.85441435574488
71,gmoe,99.99999999999999,99.99166511411096,99.99999999841738,97.85808466924314,96.71097098460696,92.32758759735245,97.63691350141836,99.99826879832052,99.99999999294809,99.94367831636426,99.97177836517315,92.23461635114248,99.9999999999985,94.4593433133446,98.86839317519727
72,gmoe,99.99999999999999,99.99166511411096,99.99999999898712,97.85808466924314,96.71097098460696,92.32758759735245,97.72228068391067,99.99826879832052,99.99999999294809,99.94367831636426,99.97177836517315,92.51159535167372,99.99999999999905,94.57468779627177,98.86839317519727
73,gmoe,99.99999999999999,99.99166511411096,99.99999999935176,97.88703691037027,96.71097098460696,92.32758759735245,97.72228068391067,99.99826879832052,99.99999999294809,99.94480654957417,99.97177836517315,92.60486849490937,99.99999999999905,94.57468779627177,98.88592781530912
74,gmoe,99.99999999999999,99.99166511411096,99.99999999935176,97.88703691037027,96.80640284193468,92.32758759735245,98.02843701516461,99.99826879832052,99.99999999294809,99.9455286188285,99.97177836517315,92.60486849490937,99.99999999999939,94.73444977013087,98.88592781530912
75,gmoe,99.99999999999999,99.99166511411096,99.99999999973447,98.2695046507093,96.95107203522028,92.67301642775206,98.26036880453464,99.99826879832052,99.999999994972,99.94628650271787,99.98193803077417,92.60486849490937,99.99999999999974,94.9095485256352,98.99143571573464
76,gmoe,99.99999999999999,99.99166511411096,99.99999999983007,98.30508445240034,96.95107203522028,92.67301642775206,98.26036880453464,99.99826879832052,99.999999994972,99.94647578884049,99.98193803077417,92.71283653268651,99.99999999999974,94.9095485256352,99.00703963093173
77,gmoe,99.99999999999999,99.99166511411096,99.9999999999304,98.32926160940966,97.04958854805913,92.67301642775206,98.65032038321252,99.99826879832052,99.999999994972,99.94667446355479,99.98193803077417,92.88474089837418,99.9999999999999,95.12816481221793,99.02055630432909
78,gmoe,99.99999999999999,99.99166511411096,99.9999999999715,98.45297887923876,97.11249991850627,92.71760059387948,98.73281912197024,99.99826879832052,99.99999999626732,99.94667446355479,99.98193803077417,92.88474089837418,99.99999999999996,95.1986966476608,99.02055630432909
79,gmoe,99.99999999999999,99.99166511411096,99.99999999998175,98.53879870860251,97.16301826376068,92.74625968373614,98.73281912197024,99.99826879832052,99.99999999626732,99.94667446355479,99.98193803077417,92.88474089837418,99.99999999999997,95.1986966476608,99.02055630432909
80,gmoe,99.99999999999999,99.99166511411096,99.99999999999253,98.93495485457758,97.38012480878017,92.87817947925662,98.73281912197024,99.99826879832052,99.99999999626732,99.94667446355479,99.98193803077417,92.88474089837418,99.99999999999999,95.1986966476608,99.02055630432909
81,gmoe,99.99999999999999,99.99166511411096,99.99999999999253,98.93495485457758,97.38012480878017,92.87817947925662,98.73281912197024,99.99826879832052,99.99999999626732,99.94667446355479,99.98193803077417,92.88474089837418,99.99999999999999,95.1986966476608,99.02055630432909
82,gmoe,99.99999999999999,99.99468023467645,99.99999999999693,98.9672338808183,97.38012480878017,92.87817947925662,98.73281912197024,99.99893740100343,99.99999999709631,99.9467761651604,99.98844021675883,92.92767506190202,99.99999999999999,95.1986966476608,99.28343277625525
83,gmoe,99.99999999999999,99.99468023467645,99.99999999999874,98.9672338808183,97.38012480878017,92.87817947925662,98.85012508859514,99.99893740100343,99.99999999762687,99.9467761651604,99.98844021675883,92.95515292655983,99.99999999999999,95.30979096389288,99.28343277625525
84,gmoe,99.99999999999999,99.99506586883214,99.99999999999919,99.00042983917352,97.38012480878017,92.87817947925662,98.85012508859514,99.99902291533877,99.99999999762687,99.94679749769541,99.98844021675883,92.97273875994084,99.99999999999999,95.30979096389288,99.44233813557133
85,gmoe,99.99999999999999,99.99506586883214,99.99999999999949,99.03738639243417,97.38012480878017,92.87817947925662,98.85012508859514,99.99902291533877,99.99999999762687,99.94680282562611,99.98844021675883,92.98399369330468,99.99999999999999,95.30979096389288,99.46119620620013
86,gmoe,99.99999999999999,99.99531267469177,99.99999999999979,99.0715780068421,97.38012480878017,92.87817947925662,98.97774114523445,99.99907764451339,99.99999999796644,99.94680841782217,99.98844021675883,92.99119685065754,99.99999999999999,95.39360837090462,99.54698787009266
87,gmoe,99.99999999999999,99.99547063044196,99.99999999999994,99.22736802695894,97.4767533899776,92.94074926515115,99.03719426105617,99.99911267118515,99.99999999818375,99.94680841782217,99.98844021675883,92.99580687136338,99.99999999999999,95.53697541723452,99.59472447384108
88,gmoe,99.99999999999999,99.99547063044196,99.99999999999997,99.22736802695894,97.4767533899776,92.94074926515115,99.10919957014085,99.99911267118515,99.99999999818375,99.94680841782217,99.98844021675883,92.9987572846151,99.99999999999999,95.63745147664861,99.59472447384108
89,gmoe,99.99999999999999,99.99563642079733,99.99999999999997,99.24965661323041,97.4767533899776,92.94074926515115,99.10919957014085,99.99914943517982,99.99999999818375,99.94681128046787,99.99526491116833,93.00064554909622,99.99999999999999,95.63745147664861,99.68459795017598
90,gmoe,99.99999999999999,99.99563642079733,99.99999999999999,99.45703617237753,97.63451329622652,93.29779597262589,99.16144664883532,99.99914943517982,99.99999999818375,99.94681128046787,99.99526491116833,93.00185403836413,99.99999999999999,95.76135998028144,99.73076461122807
91,gmoe,99.99999999999999,99.99563642079733,99.99999999999999,99.45703617237753,97.63451329622652,93.29779597262589,99.16144664883532,99.99914943517982,99.99999999818375,99.94681128046787,99.99526491116833,93.00185403836413,99.99999999999999,95.76135998028144,99.73076461122807
92,gmoe,99.99999999999999,99.9956778279495,99.99999999999999,99.61191460047381,97.71217201475142,93.34102731860382,99.16144664883532,99.99915861721165,99.99999999818375,99.94681188092535,99.99696942021107,93.00262747149559,99.99999999999999,95.76135998028144,99.79307556818289
93,gmoe,99.99999999999999,99.9957043285269,99.99999999999999,99.70352208075792,97.76511397815034,93.36920137868567,99.16144664883532,99.99916449371203,99.99999999818375,99.94681203089327,99.99806030599845,93.00262747149559,99.99999999999999,95.76135998028144,99.82207071891077
94,gmoe,99.99999999999999,99.9957043285269,99.99999999999999,99.80922991995743,97.76511397815034,93.36920137868567,99.16144664883532,99.99916449371203,99.99999999832283,99.94681212687274,99.99875847290237,93.00262747149559,99.99999999999999,95.76135998028144,99.87233554839086
95,gmoe,99.99999999999999,99.9957043285269,99.99999999999999,99.87688293704511,98.47057186753082,93.60548431330054,99.31242450392021,99.99916449371203,99.99999999832283,99.94681212687274,99.99875847290237,93.00262747149559,99.99999999999999,95.84234638436354,99.87233554839086
96,gmoe,99.99999999999999,99.9957043285269,99.99999999999999,99.92018086798124,98.47057186753082,93.60548431330054,99.31242450392021,99.99916449371203,99.99999999841185,99.9468121882996,99.99920529972087,93.00262747149559,99.99999999999999,95.84234638436354,99.8969726946886
97,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.94789154378036,98.768458393337,93.71836903957819,99.53630623692199,99.99916825467227,99.99999999850527,99.94681222761278,99.99920529972087,93.00312246869973,99.99999999999999,95.99240618687818,99.93683598432098
98,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.97697666909912,98.768458393337,93.71836903957819,99.53630623692199,99.99916825467227,99.99999999852862,99.9468122688759,99.99949126888471,93.00343926691036,99.99999999999999,95.99240618687818,99.95316398775441
99,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.97697666909912,99.13002816465152,93.8350575242605,99.72115066005279,99.99916825467227,99.99999999854354,99.9468122688759,99.99949126888471,93.00343926691036,99.99999999999999,96.1026251728179,99.95316398775441
100,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.13002816465152,93.8350575242605,99.72115066005279,99.99916825467227,99.99999999854354,99.94681227918163,99.99949126888471,93.00364201776519,99.99999999999999,96.1026251728179,99.9572420061729
101,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.13002816465152,93.8350575242605,99.72115066005279,99.99916825467227,99.99999999854354,99.94681227918163,99.99949126888471,93.00364201776519,99.99999999999999,96.1026251728179,99.9572420061729
102,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.18846273755362,93.8350575242605,99.82107960628662,99.99916825467227,99.99999999854354,99.94681228577728,99.99949126888471,93.00364201776519,99.99999999999999,96.1954100900274,99.9572420061729
103,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.42480597786535,93.8350575242605,99.95216080193518,99.99916825467227,99.99999999855311,99.94681229270009,99.99949126888471,93.00364201776519,99.99999999999999,96.66190877331478,99.9572420061729
104,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.42480597786535,93.8350575242605,99.96892609709134,99.99916825467227,99.99999999855311,99.94681229270009,99.99949126888471,93.00377177831226,99.99999999999999,96.70179005922645,99.9572420061729
105,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.42480597786535,93.8350575242605,99.96892609709134,99.99916825467227,99.99999999855311,99.94681229270009,99.99949126888471,93.00377177831226,99.99999999999999,96.70179005922645,99.9572420061729
106,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.42480597786535,93.8350575242605,99.96892609709134,99.99916825467227,99.99999999855311,99.94681229270009,99.99949126888471,93.00377177831226,99.99999999999999,96.70179005922645,99.9572420061729
107,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.42480597786535,93.8350575242605,99.96892609709134,99.99916825467227,99.99999999855311,99.94681229270009,99.99949126888471,93.00377177831226,99.99999999999999,96.70179005922645,99.9572420061729
108,gmoe,99.99999999999999,99.99572128889643,99.99999999999999,99.9842408564958,99.53477632904708,94.3126236813652,99.96892609709134,99.99916825467227,99.99999999855311,99.94681229270009,99.99949126888471,93.00377177831226,99.99999999999999,96.77186133263947,99.95985193796074
