step,mode,market,unit,region,actor_a,actor_b,amount,object_id,result
2,gmoe,dividend,STOCK,R02,A019,A019,0.04618680555306318,STOCK_A019,omk_dividend
2,gmoe,credit_market,DEBT,R02,A015,A002,1.2149129043448614,CR_2_A002,omk_credit
2,gmoe,credit_market,DEBT,R02,A015,A003,1.129869001040721,CR_2_A003,omk_credit
2,gmoe,credit_market,DEBT,R02,A015,A008,1.0507781709678707,CR_2_A008,omk_credit
2,gmoe,credit_market,DEBT,R04,A015,A010,0.9772236990001197,CR_2_A010,omk_credit
2,gmoe,insurance_market,INS,R02,A016,A018,1.1611023771292648,insurance,paid_omk
2,gmoe,insurance_market,INS,R04,A042,A018,1.012284672486031,insurance,paid_omk
2,gmoe,interregional_bridge,BRIDGE,R02,A026,R00,0.6856937170974357,PKT_2_R02_R00_4,sent
2,gmoe,interregional_bridge,BRIDGE,R03,A007,R00,1.0820657669328808,PKT_2_R03_R00_5,sent
2,gmoe,interregional_bridge,BRIDGE,R03,A014,R00,0.9175203456036376,PKT_2_R03_R00_6,sent
2,gmoe,repair_fund,REPAIR,R00,repair_fund,A015,2.2632557680180856,restore_agency,funded
3,gmoe,causality_market,CAUSE,R04,A034,market,0.0,CC_3_A034_1,created
3,gmoe,causality_market,CAUSE,R03,A037,market,0.0,CC_3_A037_2,created
3,gmoe,goods_market,OMK,R01,A000,A043,6.178773242509415,goods,paid_omk
3,gmoe,goods_market,OMK,R03,A037,A007,6.45631684529794,goods,insufficient_omk
3,gmoe,goods_market,OMK,R02,A058,A016,6.0049054611771915,goods,insufficient_omk
3,gmoe,goods_market,OMK,R04,A051,A034,5.274797073868223,goods,insufficient_omk
3,gmoe,energy_market,OMK,R02,A009,A002,2.25,energy,paid_omk
3,gmoe,securities_market,STOCK,R02,A011,A019,29.000681414571726,STOCK_A019,insufficient_omk
3,gmoe,securities_market,STOCK,R00,A023,A036,27.267671170189267,STOCK_A036,insufficient_omk
3,gmoe,securities_market,STOCK,R02,A026,A036,31.54159960670608,STOCK_A036,insufficient_omk
3,gmoe,securities_market,STOCK,R04,A048,A014,18.398591307454126,STOCK_A014,insufficient_omk
3,gmoe,securities_market,STOCK,R04,A028,A019,40.75703778993921,STOCK_A019,insufficient_omk
3,gmoe,securities_market,STOCK,R04,A025,A036,21.353576228479703,STOCK_A036,insufficient_omk
3,gmoe,securities_market,STOCK,R01,A000,A036,14.133117820951657,STOCK_A036,insufficient_omk
3,gmoe,securities_market,STOCK,R04,A036,A019,28.811079874338038,STOCK_A019,insufficient_omk
3,gmoe,securities_market,STOCK,R04,A030,A033,37.02834574613043,STOCK_A033,insufficient_omk
3,gmoe,securities_market,STOCK,R02,A009,A014,12.869228840051433,STOCK_A014,insufficient_omk
3,gmoe,securities_market,STOCK,R02,A033,A014,19.281279549806413,STOCK_A014,insufficient_omk
3,gmoe,securities_market,STOCK,R02,A005,A028,31.698059625202276,STOCK_A028,insufficient_omk
3,gmoe,dividend,STOCK,R02,A009,A009,0.09630286703801956,STOCK_A009,omk_dividend
3,gmoe,dividend,STOCK,R03,A014,A014,0.126617807693302,STOCK_A014,omk_dividend
3,gmoe,dividend,STOCK,R02,A033,A033,0.14001453843380096,STOCK_A033,omk_dividend
3,gmoe,dividend,STOCK,R04,A036,A036,0.05335271053746396,STOCK_A036,omk_dividend
3,gmoe,dividend,STOCK,R02,A019,A019,0.05599007117991544,STOCK_A019,omk_dividend
3,gmoe,dividend,STOCK,R04,A028,A028,0.03880067030973954,STOCK_A028,omk_dividend
3,gmoe,credit_market,DEBT,R01,A015,A000,2.4377700040802637,CR_3_A000,omk_credit
3,gmoe,credit_market,DEBT,R00,A015,A012,2.267126103794645,CR_3_A012,omk_credit
3,gmoe,credit_market,DEBT,R03,A015,A017,2.10842727652902,CR_3_A017,omk_credit
3,gmoe,credit_market,DEBT,R00,A015,A020,1.9608373671719885,CR_3_A020,omk_credit
3,gmoe,insurance_market,INS,R03,A004,A015,1.3552776650568505,insurance,paid_omk
3,gmoe,insurance_market,INS,R04,A038,A015,1.2894571739753105,insurance,paid_omk
3,gmoe,interregional_bridge,BRIDGE,R04,A025,R03,0.9417322839497756,PKT_3_R04_R03_7,sent
3,gmoe,interregional_bridge,BRIDGE,R03,A031,R02,0.7052268735770127,PKT_3_R03_R02_8,sent
3,gmoe,interregional_bridge,BRIDGE,R03,A004,R00,0.6961915146984662,PKT_3_R03_R00_9,sent
3,gmoe,repair_fund,REPAIR,R01,repair_fund,A043,2.5,restore_agency,funded
4,gmoe,truth_market,TRUTH,R03,A021,market,0.0,TC_4_A021_1,created
4,gmoe,causality_market,CAUSE,R04,A030,market,0.0,CC_4_A030_3,created
4,gmoe,norm_market,NORM,R00,A039,region,0.0,NC_4_A039_2,created
4,gmoe,behavior_market,BEHAV,R01,A043,A032,0.0,BC_4_A032_3,created
4,gmoe,behavior_market,BEHAV,R02,A016,A029,0.0,BC_4_A029_4,created
4,gmoe,behavior_market,BEHAV,R00,A006,A023,0.0,BC_4_A023_5,created
4,gmoe,norm_market,NORM,R02,A003,region,0.0,NC_4_A003_3,created
4,gmoe,behavior_market,BEHAV,R04,A038,A020,2.3200000000000003,BC_1_A020_1,resolved_success=True
4,gmoe,goods_market,OMK,R01,A050,A044,6.152992587116886,goods,insufficient_omk
4,gmoe,goods_market,OMK,R03,A037,A040,6.370585510657424,goods,insufficient_omk
4,gmoe,goods_market,OMK,R02,A026,A056,5.789836254753094,goods,paid_omk
4,gmoe,goods_market,OMK,R04,A010,A028,5.00319884711543,goods,paid_omk
4,gmoe,securities_market,STOCK,R02,A033,A028,48.543324092317484,STOCK_A028,insufficient_omk
4,gmoe,securities_market,STOCK,R02,A052,A028,55.903808601148405,STOCK_A028,insufficient_omk
4,gmoe,securities_market,STOCK,R02,A057,A036,16.73802134607086,STOCK_A036,insufficient_omk
4,gmoe,securities_market,STOCK,R01,A049,A019,20.85053995568327,STOCK_A019,insufficient_omk
4,gmoe,securities_market,STOCK,R00,A023,A014,6.239957288552775,STOCK_A014,insufficient_omk
4,gmoe,securities_market,STOCK,R02,A026,A019,53.48935673114658,STOCK_A019,insufficient_omk
4,gmoe,securities_market,STOCK,R04,A034,A028,24.869303137903202,STOCK_A028,insufficient_omk
4,gmoe,securities_market,STOCK,R04,A025,A019,30.83410000576077,STOCK_A019,insufficient_omk
4,gmoe,securities_market,STOCK,R04,A032,A014,8.642855860238747,STOCK_A014,insufficient_omk
4,gmoe,securities_market,STOCK,R02,A056,A033,33.26045280428117,STOCK_A033,insufficient_omk
4,gmoe,securities_market,STOCK,R04,A055,A014,20.586988418715254,STOCK_A014,insufficient_omk
4,gmoe,securities_market,STOCK,R00,A015,A019,33.177482634185715,STOCK_A019,insufficient_omk
4,gmoe,dividend,STOCK,R02,A009,A009,0.09630286703801956,STOCK_A009,omk_dividend
4,gmoe,dividend,STOCK,R03,A014,A014,0.15881553250263059,STOCK_A014,omk_dividend
4,gmoe,dividend,STOCK,R02,A033,A033,0.15369161317184674,STOCK_A033,omk_dividend
4,gmoe,dividend,STOCK,R04,A036,A036,0.05335271053746396,STOCK_A036,omk_dividend
4,gmoe,dividend,STOCK,R02,A019,A019,0.08699381669325176,STOCK_A019,omk_dividend
4,gmoe,dividend,STOCK,R04,A028,A028,0.11425926755161904,STOCK_A028,omk_dividend
4,gmoe,credit_market,DEBT,R03,A015,A021,2.0087101902022004,CR_4_A021,omk_credit
4,gmoe,credit_market,DEBT,R00,A015,A023,1.8681004768880465,CR_4_A023,omk_credit
4,gmoe,credit_market,DEBT,R04,A015,A024,1.7373334435058831,CR_4_A024,omk_credit
4,gmoe,credit_market,DEBT,R03,A015,A035,1.6157201024604715,CR_4_A035,omk_credit
4,gmoe,insurance_market,INS,R02,A005,A043,1.7392751988541422,insurance,paid_omk
4,gmoe,insurance_market,INS,R04,A010,A043,1.5850608714326206,insurance,paid_omk
4,gmoe,interregional_bridge,BRIDGE,R02,A016,R00,0.9765443166604327,PKT_4_R02_R00_10,sent
4,gmoe,interregional_bridge,BRIDGE,R04,A030,R02,1.0440860568149954,PKT_4_R04_R02_11,sent
4,gmoe,interregional_bridge,BRIDGE,R02,A011,R00,0.8532965925232371,PKT_4_R02_R00_12,sent
4,gmoe,repair_fund,REPAIR,R02,repair_fund,A005,2.5,repair_harm,funded
5,gmoe,truth_market,TRUTH,R03,A037,market,0.0,TC_5_A037_2,created
5,gmoe,causality_market,CAUSE,R02,A033,market,0.0,CC_5_A033_4,created
5,gmoe,causality_market,CAUSE,R04,A010,market,0.0,CC_5_A010_5,created
5,gmoe,goods_market,OMK,R01,A050,A044,5.999736263067022,goods,insufficient_omk
5,gmoe,goods_market,OMK,R03,A059,A040,6.052255734107124,goods,insufficient_omk
5,gmoe,goods_market,OMK,R02,A058,A019,5.447582563091316,goods,insufficient_omk
5,gmoe,goods_market,OMK,R04,A055,A036,4.628433214689225,goods,insufficient_omk
5,gmoe,securities_market,STOCK,R02,A016,A028,7.809933956724106,STOCK_A028,paid_omk
5,gmoe,securities_market,STOCK,R02,A009,A033,40.377974736674574,STOCK_A033,insufficient_omk
5,gmoe,securities_market,STOCK,R00,A015,A014,39.37657441973856,STOCK_A014,insufficient_omk
5,gmoe,securities_market,STOCK,R04,A030,A036,7.677144921639624,STOCK_A036,paid_omk
5,gmoe,securities_market,STOCK,R00,A054,A014,12.593551087921602,STOCK_A014,insufficient_omk
5,gmoe,securities_market,STOCK,R04,A024,A014,40.70908252442785,STOCK_A014,insufficient_omk
5,gmoe,securities_market,STOCK,R03,A017,A028,39.64778457291955,STOCK_A028,insufficient_omk
5,gmoe,securities_market,STOCK,R02,A057,A028,42.82136047355285,STOCK_A028,insufficient_omk
5,gmoe,securities_market,STOCK,R02,A058,A028,16.566380431192805,STOCK_A028,insufficient_omk
5,gmoe,securities_market,STOCK,R03,A040,A019,52.14533759742757,STOCK_A019,insufficient_omk
5,gmoe,securities_market,STOCK,R04,A032,A019,13.783043411262316,STOCK_A019,insufficient_omk
5,gmoe,securities_market,STOCK,R03,A031,A036,34.63070908229792,STOCK_A036,insufficient_omk
5,gmoe,dividend,STOCK,R02,A009,A009,0.09826023483178578,STOCK_A009,omk_dividend
5,gmoe,dividend,STOCK,R03,A014,A014,0.17704607267013198,STOCK_A014,omk_dividend
5,gmoe,dividend,STOCK,R02,A033,A033,0.19573058746095115,STOCK_A033,omk_dividend
5,gmoe,dividend,STOCK,R04,A036,A030,0.0013454924952401369,STOCK_A036,omk_dividend
5,gmoe,dividend,STOCK,R04,A036,A036,0.1774626493188579,STOCK_A036,omk_dividend
5,gmoe,dividend,STOCK,R02,A019,A019,0.13130711305159118,STOCK_A019,omk_dividend
5,gmoe,dividend,STOCK,R04,A028,A016,0.0012092152990068276,STOCK_A028,omk_dividend
5,gmoe,dividend,STOCK,R04,A028,A028,0.20676925973330146,STOCK_A028,omk_dividend
5,gmoe,credit_market,DEBT,R00,A015,A023,2.2923417362358482,CR_5_A023,omk_credit
5,gmoe,credit_market,DEBT,R04,A015,A042,2.1318778146993385,CR_5_A042,omk_credit
5,gmoe,insurance_market,INS,R03,A037,A043,1.354100363667343,insurance,paid_omk
5,gmoe,insurance_market,INS,R02,A019,A043,1.0557080858807761,insurance,paid_omk
5,gmoe,interregional_bridge,BRIDGE,R04,A028,R02,1.3864264296581348,PKT_5_R04_R02_13,sent
5,gmoe,interregional_bridge,BRIDGE,R00,A015,R02,2.0,PKT_5_R00_R02_14,sent
5,gmoe,interregional_bridge,BRIDGE,R02,A005,R03,1.762738448839546,PKT_5_R02_R03_15,sent
5,gmoe,interregional_settlement,BRIDGE,R00,A007,R00,1.0598151475883901,PKT_1_R03_R00_1,accepted
5,gmoe,repair_fund,REPAIR,R01,repair_fund,A043,2.5,repair_harm,funded
6,gmoe,norm_market,NORM,R00,A013,region,0.0,NC_6_A013_4,created
6,gmoe,truth_market,TRUTH,R02,A002,market,0.0,TC_6_A002_3,created
6,gmoe,norm_market,NORM,R02,A005,region,2.652,NC_2_A005_1,resolved
6,gmoe,goods_market,OMK,R01,A050,A044,5.836959505156154,goods,insufficient_omk
6,gmoe,goods_market,OMK,R03,A059,A031,6.03530883709694,goods,insufficient_omk
6,gmoe,goods_market,OMK,R02,A058,A002,5.32699674006248,goods,insufficient_omk
6,gmoe,goods_market,OMK,R04,A055,A036,4.363127783002125,goods,insufficient_omk
6,gmoe,securities_market,STOCK,R03,A040,A036,13.441949654152177,STOCK_A036,insufficient_omk
6,gmoe,securities_market,STOCK,R02,A057,A036,25.024834258366354,STOCK_A036,insufficient_omk
6,gmoe,securities_market,STOCK,R04,A028,A036,13.012828821436432,STOCK_A036,paid_omk
6,gmoe,securities_market,STOCK,R00,A029,A019,31.4528485785724,STOCK_A019,insufficient_omk
6,gmoe,securities_market,STOCK,R03,A007,A014,9.53997505449785,STOCK_A014,paid_omk
6,gmoe,securities_market,STOCK,R04,A036,A033,34.095836109708976,STOCK_A033,insufficient_omk
6,gmoe,securities_market,STOCK,R04,A030,A028,48.31728682719732,STOCK_A028,insufficient_omk
6,gmoe,securities_market,STOCK,R03,A001,A028,49.77281342073608,STOCK_A028,insufficient_omk
6,gmoe,securities_market,STOCK,R02,A011,A036,40.242674972676916,STOCK_A036,insufficient_omk
6,gmoe,securities_market,STOCK,R04,A055,A014,36.91744456417046,STOCK_A014,insufficient_omk
6,gmoe,securities_market,STOCK,R02,A033,A014,31.396436894302216,STOCK_A014,insufficient_omk
6,gmoe,securities_market,STOCK,R01,A000,A014,10.389995628401271,STOCK_A014,paid_omk
6,gmoe,dividend,STOCK,R02,A009,A009,0.10196505033126742,STOCK_A009,omk_dividend
6,gmoe,dividend,STOCK,R03,A014,A000,0.005039146630441053,STOCK_A014,omk_dividend
6,gmoe,dividend,STOCK,R03,A014,A007,0.00462688675430768,STOCK_A014,omk_dividend
6,gmoe,dividend,STOCK,R03,A014,A014,0.4065396874801728,STOCK_A014,omk_dividend
6,gmoe,dividend,STOCK,R02,A033,A033,0.20071265578008182,STOCK_A033,omk_dividend
6,gmoe,dividend,STOCK,R04,A036,A028,0.004440486553046378,STOCK_A036,omk_dividend
6,gmoe,dividend,STOCK,R04,A036,A030,0.0026260618102011903,STOCK_A036,omk_dividend
6,gmoe,dividend,STOCK,R04,A036,A036,0.34636230804855195,STOCK_A036,omk_dividend
6,gmoe,dividend,STOCK,R01,A050,A050,0.011240418652533906,STOCK_A050,omk_dividend
6,gmoe,dividend,STOCK,R02,A019,A019,0.15450950791876314,STOCK_A019,omk_dividend
6,gmoe,dividend,STOCK,R04,A028,A016,0.0004900329610244732,STOCK_A028,omk_dividend
6,gmoe,dividend,STOCK,R04,A028,A028,0.0837929793636989,STOCK_A028,omk_dividend
6,gmoe,credit_market,DEBT,R01,A043,A000,3.2009436144703765,CR_6_A000,omk_credit
6,gmoe,insurance_market,INS,R02,A009,A043,1.335024693189478,insurance,paid_omk
6,gmoe,insurance_market,INS,R01,A000,A043,1.148349499962378,insurance,paid_omk
6,gmoe,interregional_bridge,BRIDGE,R04,A010,R03,0.867352169846809,PKT_6_R04_R03_16,sent
6,gmoe,interregional_bridge,BRIDGE,R03,A004,R04,1.7203954824202785,PKT_6_R03_R04_17,sent
6,gmoe,interregional_bridge,BRIDGE,R02,A033,R04,1.3380843718672122,PKT_6_R02_R04_18,sent
6,gmoe,interregional_settlement,BRIDGE,R00,A014,R00,0.9175203456036376,PKT_2_R03_R00_6,accepted
6,gmoe,repair_fund,REPAIR,R01,repair_fund,A043,2.5,repair_harm,funded
7,gmoe,causality_market,CAUSE,R00,A013,market,0.0,CC_7_A013_6,created
7,gmoe,causality_market,CAUSE,R03,A037,settlement,1.3942924271126993,CC_3_A037_2,resolved
7,gmoe,behavior_market,BEHAV,R03,A035,A052,2.3200000000000003,BC_1_A052_2,resolved_success=True
7,gmoe,goods_market,OMK,R01,A050,A044,5.836959505156154,goods,insufficient_omk
7,gmoe,goods_market,OMK,R03,A037,A014,6.021179024041214,goods,paid_omk
7,gmoe,goods_market,OMK,R02,A058,A047,5.274066080731143,goods,insufficient_omk
7,gmoe,goods_market,OMK,R04,A055,A018,4.066386344561248,goods,insufficient_omk
7,gmoe,securities_market,STOCK,R04,A022,A009,25.551465535717615,STOCK_A009,insufficient_omk
7,gmoe,securities_market,STOCK,R02,A003,A009,30.192358691206493,STOCK_A009,insufficient_omk
7,gmoe,securities_market,STOCK,R00,A015,A036,38.62012144378077,STOCK_A036,insufficient_omk
7,gmoe,securities_market,STOCK,R00,A012,A036,14.343685638585518,STOCK_A036,insufficient_omk
7,gmoe,securities_market,STOCK,R03,A059,A019,7.25260206422031,STOCK_A019,insufficient_omk
7,gmoe,securities_market,STOCK,R04,A018,A019,40.03591745855743,STOCK_A019,insufficient_omk
7,gmoe,securities_market,STOCK,R04,A038,A036,32.33174097280481,STOCK_A036,insufficient_omk
7,gmoe,securities_market,STOCK,R03,A021,A009,6.059267234290336,STOCK_A009,paid_omk
7,gmoe,securities_market,STOCK,R01,A043,A009,19.209967487280743,STOCK_A009,paid_omk
7,gmoe,securities_market,STOCK,R04,A048,A028,31.013820003825188,STOCK_A028,insufficient_omk
7,gmoe,securities_market,STOCK,R02,A033,A036,30.271546370184076,STOCK_A036,insufficient_omk
7,gmoe,securities_market,STOCK,R02,A011,A009,12.654200264849578,STOCK_A009,paid_omk
7,gmoe,dividend,STOCK,R02,A009,A009,0.646031832103766,STOCK_A009,omk_dividend
7,gmoe,dividend,STOCK,R02,A009,A011,0.01232488291001937,STOCK_A009,omk_dividend
7,gmoe,dividend,STOCK,R02,A009,A021,0.005901578734342327,STOCK_A009,omk_dividend
7,gmoe,dividend,STOCK,R02,A009,A043,0.018710040542323326,STOCK_A009,omk_dividend
7,gmoe,dividend,STOCK,R03,A014,A000,0.006114713239151692,STOCK_A014,omk_dividend
7,gmoe,dividend,STOCK,R03,A014,A007,0.005614459702702578,STOCK_A014,omk_dividend
7,gmoe,dividend,STOCK,R03,A014,A014,0.4933124180706817,STOCK_A014,omk_dividend
7,gmoe,dividend,STOCK,R02,A033,A033,0.1846556433176753,STOCK_A033,omk_dividend
7,gmoe,dividend,STOCK,R04,A036,A028,0.004804085512492227,STOCK_A036,omk_dividend
7,gmoe,dividend,STOCK,R04,A036,A030,0.002841090800881182,STOCK_A036,omk_dividend
7,gmoe,dividend,STOCK,R04,A036,A036,0.3747233836408916,STOCK_A036,omk_dividend
7,gmoe,dividend,STOCK,R01,A050,A050,0.011240418652533906,STOCK_A050,omk_dividend
7,gmoe,dividend,STOCK,R02,A019,A019,0.17825490549699,STOCK_A019,omk_dividend
7,gmoe,dividend,STOCK,R04,A028,A016,0.0006062542236378744,STOCK_A028,omk_dividend
7,gmoe,dividend,STOCK,R04,A028,A028,0.1036661851158756,STOCK_A028,omk_dividend
7,gmoe,credit_market,DEBT,R02,A009,A011,3.5,CR_7_A011,omk_credit
7,gmoe,credit_market,DEBT,R03,A009,A021,3.5,CR_7_A021,omk_credit
7,gmoe,credit_market,DEBT,R03,A009,A037,3.4913963948745623,CR_7_A037,omk_credit
7,gmoe,credit_settlement,DEBT,R02,A002,A015,1.3364041947793477,CR_2_A002,fulfilled_omk
7,gmoe,credit_settlement,DEBT,R02,A003,A015,1.2428559011447933,CR_2_A003,fulfilled_omk
7,gmoe,credit_settlement,DEBT,R02,A008,A015,1.155855988064658,CR_2_A008,fulfilled_omk
7,gmoe,credit_settlement,DEBT,R04,A010,A015,1.0749460689001318,CR_2_A010,fulfilled_omk
7,gmoe,insurance_market,INS,R00,A015,A009,1.1475547878482357,insurance,paid_omk
7,gmoe,insurance_market,INS,R03,A014,A009,1.4229454081495236,insurance,paid_omk
7,gmoe,interregional_bridge,BRIDGE,R03,A014,R01,2.0,PKT_7_R03_R01_19,sent
7,gmoe,interregional_bridge,BRIDGE,R03,A031,R02,0.6488087236908517,PKT_7_R03_R02_20,sent
7,gmoe,interregional_bridge,BRIDGE,R02,A033,R04,1.2310376221178354,PKT_7_R02_R04_21,sent
7,gmoe,interregional_settlement,BRIDGE,R00,A004,R00,0.6961915146984662,PKT_3_R03_R00_9,accepted
7,gmoe,repair_fund,REPAIR,R01,repair_fund,A043,2.5,restore_agency,funded
8,gmoe,truth_market,TRUTH,R00,A029,market,0.0,TC_8_A029_4,created
8,gmoe,behavior_market,BEHAV,R01,A043,A032,2.3200000000000003,BC_4_A032_3,resolved_success=True
8,gmoe,behavior_market,BEHAV,R02,A016,A029,2.3200000000000003,BC_4_A029_4,resolved_success=True
8,gmoe,norm_market,NORM,R00,A039,region,2.652,NC_4_A039_2,resolved
8,gmoe,norm_market,NORM,R02,A003,region,2.652,NC_4_A003_3,resolved
8,gmoe,goods_market,OMK,R01,A050,A044,5.680239822408971,goods,insufficient_omk
8,gmoe,goods_market,OMK,R03,A059,A014,5.8443747687447924,goods,insufficient_omk
8,gmoe,goods_market,OMK,R02,A058,A016,5.274066080731143,goods,insufficient_omk
8,gmoe,goods_market,OMK,R04,A055,A038,3.855963366923909,goods,insufficient_omk
8,gmoe,securities_market,STOCK,R02,A057,A036,10.888497976837124,STOCK_A036,insufficient_omk
8,gmoe,securities_market,STOCK,R00,A054,A009,8.052234713717977,STOCK_A009,insufficient_omk
8,gmoe,securities_market,STOCK,R03,A017,A014,16.499840661005994,STOCK_A014,insufficient_omk
8,gmoe,securities_market,STOCK,R03,A007,A009,16.57227588568515,STOCK_A009,paid_omk
8,gmoe,securities_market,STOCK,R00,A023,A019,60.52609348192261,STOCK_A019,insufficient_omk
8,gmoe,securities_market,STOCK,R02,A052,A036,42.933995869868916,STOCK_A036,insufficient_omk
8,gmoe,securities_market,STOCK,R04,A032,A009,14.332236549311554,STOCK_A009,insufficient_omk
8,gmoe,securities_market,STOCK,R00,A012,A014,13.209149287055642,STOCK_A014,paid_omk
8,gmoe,securities_market,STOCK,R04,A042,A028,28.009478229971506,STOCK_A028,insufficient_omk
8,gmoe,securities_market,STOCK,R04,A025,A028,59.45132681521881,STOCK_A028,insufficient_omk
8,gmoe,securities_market,STOCK,R02,A016,A036,49.52571720784122,STOCK_A036,insufficient_omk
8,gmoe,securities_market,STOCK,R04,A018,A014,33.78276302655964,STOCK_A014,insufficient_omk
8,gmoe,dividend,STOCK,R02,A009,A007,0.01815500770982128,STOCK_A009,omk_dividend
8,gmoe,dividend,STOCK,R02,A009,A009,0.7266413398958681,STOCK_A009,omk_dividend
8,gmoe,dividend,STOCK,R02,A009,A011,0.013862737076952087,STOCK_A009,omk_dividend
8,gmoe,dividend,STOCK,R02,A009,A021,0.006637956314101061,STOCK_A009,omk_dividend
8,gmoe,dividend,STOCK,R02,A009,A043,0.021044611509168053,STOCK_A009,omk_dividend
