id,name,country,currency,deposits,loans,reserves,equity,capital_ratio,risk_appetite,reputation,truth_score,truth_positive,truth_debt,top_truth_layers
agent_27964c2f67,Iron KAE Bank 11,Kaelreich,KAE,185038.606,211578.582,9591.4816,766374.4205,3.622174,0.291995,0.539997,1432.2999,1432.2999,0.0,"{legal=+1084.76, liquidity=+70.45, social=+66.28, temporal=+0.56}"
agent_2ffa8f2989,Argent LUM Bank 12,Lumerterra,LUM,752120.1559,900158.0509,19469.5878,475246.3364,0.527959,0.680207,0.820757,1662.0549,1662.0549,0.0,"{legal=+1258.44, liquidity=+83.99, social=+74.99, temporal=+0.52}"
agent_f97ec77f51,Iron MER Bank 13,Meridmark,MER,28059.5308,33329.9712,999.1949,335881.5821,10.077464,0.393439,0.515473,77.3518,77.3518,0.0,"{legal=+58.28, liquidity=+5.10, social=+2.56, temporal=+0.01}"
agent_10e1388b2d,Nexus NOV Bank 14,Novaresia,NOV,704069.2541,794626.2776,39226.3753,436608.2396,0.549451,0.826262,0.533769,1116.3737,1116.3737,0.0,"{legal=+850.44, liquidity=+55.33, social=+44.83, temporal=+0.19}"
agent_12fed7c772,Blue ORI Bank 15,Oriongrad,ORI,109466.7972,133616.7457,3526.2433,119053.2052,0.891005,0.276838,0.681713,222.2221,222.2221,0.0,"{legal=+166.83, liquidity=+15.28, social=+7.45, temporal=+0.05}"
agent_5fd7f62d9a,Nova PRA Bank 16,Praxmark,PRA,549437.7691,651681.6152,30845.468,619745.8078,0.950995,0.262538,0.776249,1254.0333,1254.0333,0.0,"{legal=+935.38, social=+74.36, liquidity=+63.56, temporal=+1.29}"
agent_d740f526e8,Atlas QUO Bank 17,Quorinreich,QUO,984007.0686,1198858.9128,20471.9736,197312.21,0.164583,0.708959,0.500908,295.7971,295.7971,0.0,"{legal=+223.44, liquidity=+16.95, social=+11.59, temporal=+0.34}"
agent_5c609c2b4d,Helix RHE Bank 18,Rhengrad,RHE,48601.7392,58379.5387,1252.1974,117764.2417,2.017218,0.301718,0.631128,294.3378,294.3378,0.0,"{legal=+219.08, liquidity=+17.22, social=+15.56, temporal=+0.25}"
agent_0816df3ed9,Nexus SEL Bank 19,Selenreich,SEL,562053.4672,613230.9683,25969.6987,508432.1198,0.829104,0.480996,0.748524,451.0413,451.0413,0.0,"{legal=+342.84, liquidity=+20.93, social=+20.64, temporal=+0.15}"
agent_291927dcfe,Argent TAV Bank 20,Tavoresia,TAV,471460.3228,562857.0324,17410.5479,274080.7691,0.486946,0.246886,0.706843,243.2756,243.2756,0.0,"{legal=+186.23, social=+10.49, liquidity=+10.26, temporal=+0.12}"
agent_314f4f82c8,Saffron ULM Bank 21,Ulmarreich,ULM,693643.5754,703017.2918,45352.5575,338254.6134,0.481147,0.516969,0.600112,1800.2775,1800.2775,0.0,"{legal=+1333.82, liquidity=+158.79, social=+45.24, temporal=+0.23}"
agent_69a0b6a21c,Green VAL Bank 22,Valenesia,VAL,68279.475,75437.4393,1851.8667,118401.4402,1.569532,0.39051,0.697595,147.6745,147.6745,0.0,"{legal=+112.77, liquidity=+7.47, social=+5.41, temporal=+0.02}"
agent_3f93fa2293,Union WES Bank 23,Westrmark,WES,268457.4598,289972.7876,9661.7618,199487.2041,0.687951,0.533442,0.521338,805.6447,805.6447,0.0,"{legal=+609.44, liquidity=+49.29, social=+27.72, temporal=+0.09}"
agent_0c4ec17c96,Meridian XAN Bank 24,Xandland,XAN,254959.136,306072.7748,13326.0706,188292.9627,0.61519,0.499964,0.61353,278.6328,278.6328,0.0,"{legal=+210.89, liquidity=+15.03, social=+11.64, temporal=+0.06}"
agent_1665ddfa97,Sol YMI Bank 25,Ymirterra,YMI,106004.1055,120719.8111,2631.0199,37239.7364,0.308481,0.413765,0.60315,83.046,83.046,0.0,"{legal=+61.40, liquidity=+7.35, social=+2.22, temporal=+0.03}"
agent_dd76baab95,Vertex ZER Bank 26,Zerinreich,ZER,336380.2165,409774.7304,20126.3672,129576.5915,0.316214,0.678054,0.777953,330.6844,330.6844,0.0,"{legal=+251.80, social=+15.31, liquidity=+14.56, temporal=+0.21}"
agent_96182a00fd,Union ARC Bank 27,Arcmere,ARC,38789.3127,47265.4597,3088.9529,58160.7313,1.230512,0.474701,0.742658,60.1315,60.1315,0.0,"{legal=+45.38, liquidity=+4.06, social=+1.79, temporal=+0.01}"
agent_220a57ff79,Kinetic BEL Bank 28,Belreich,BEL,454032.8451,546263.2368,22231.9908,302546.1863,0.553847,0.534596,0.411417,676.9748,676.9748,0.0,"{legal=+519.23, liquidity=+31.85, social=+24.43, temporal=+0.08}"
agent_412acc7d7b,Vertex CAS Bank 29,Caspesia,CAS,1848259.4178,2249995.6571,87087.3598,302027.0372,0.134234,0.692815,0.40637,2954.1463,2954.1463,0.0,"{legal=+2250.39, liquidity=+133.84, social=+132.05, temporal=+1.17}"
agent_d9c01bd0c2,Cobalt DRA Bank 30,Dravesia,DRA,449152.0147,519920.6298,15465.1983,329303.1025,0.633372,0.734266,0.633112,665.6352,665.6352,0.0,"{legal=+508.02, liquidity=+31.68, social=+26.91, temporal=+0.13}"
agent_3253fcf9a9,Vector EPH Bank 31,Ephyterra,EPH,141119.9394,168910.6926,3094.3132,227426.841,1.346432,0.332471,0.757806,122.5983,122.5983,0.0,"{legal=+91.10, liquidity=+8.70, social=+5.01, temporal=+0.08}"
agent_65617c94c2,Kinetic FJE Bank 32,Fjellstan,FJE,211304.2533,252765.5889,7122.8314,256471.662,1.014662,0.480296,0.720218,54.3968,54.3968,0.0,"{legal=+41.50, liquidity=+2.87, social=+1.90, temporal=+0.01}"
agent_0444668a31,Civitas XAN Bank 33,Xandland,XAN,68110.2429,77962.7968,2322.7714,186300.5852,2.389609,0.252617,0.6142,82.4894,82.4894,0.0,"{legal=+60.99, liquidity=+7.24, social=+2.28, temporal=+0.01}"
agent_33690628f5,Green RHE Bank 34,Rhengrad,RHE,349128.7155,422669.0581,14505.6054,112181.1796,0.265411,0.688065,0.760403,719.5393,719.5393,0.0,"{legal=+544.46, social=+34.91, liquidity=+34.43, temporal=+0.40}"
agent_c2592110c9,Omni BEL Bank 35,Belreich,BEL,75997.8743,84466.2593,1791.5384,317987.2704,3.764666,0.248159,0.461625,399.7511,399.7511,0.0,"{legal=+294.75, liquidity=+40.09, social=+6.61, temporal=+0.02}"
agent_f2bae4d3a4,Atlas TAV Bank 36,Tavoresia,TAV,696225.1438,845071.4892,26208.1952,270939.4421,0.320611,0.528379,0.75403,462.9856,462.9856,0.0,"{legal=+348.76, social=+24.96, liquidity=+21.56, temporal=+0.53}"
agent_ab73be0087,Blue IST Bank 37,Istrpolis,IST,68130.0415,73206.9234,3899.1599,64498.9328,0.88105,0.439584,0.466703,157.7502,157.7502,0.0,"{legal=+118.80, liquidity=+10.56, social=+5.13, temporal=+0.02}"
agent_a266f86693,Terra DRA Bank 38,Dravesia,DRA,601209.5379,687645.6108,33199.0132,339660.8293,0.493947,0.47897,0.777637,558.1907,558.1907,0.0,"{legal=+420.77, liquidity=+33.38, social=+21.93, temporal=+0.18}"
agent_659409b093,Sol BOR Bank 39,Borealgrad,BOR,406013.4856,494416.1942,13815.5443,409041.681,0.827323,0.444349,0.656051,-393.9085,506.9111,900.8196,"{epistemic=-581.40, legal=+380.54, security=-103.57, liquidity=+30.69, social=+21.60, temporal=+0.17}"
agent_98fa2de883,Prism ZER Bank 40,Zerinreich,ZER,319199.5239,388932.4457,12669.4468,131233.1416,0.337419,0.703053,0.579017,532.898,561.1368,28.2388,"{legal=+435.18, social=+22.50, liquidity=+18.44, epistemic=-11.90, security=-9.13, temporal=+0.27}"
agent_65563134de,Prism HEL Bank 41,Helioia,HEL,330241.7577,400135.5814,7857.4727,302797.0879,0.756736,0.727748,0.632125,316.2301,316.2301,0.0,"{legal=+238.62, liquidity=+20.65, social=+10.21, temporal=+0.06}"
agent_29bc4b5038,Vector MER Bank 42,Meridmark,MER,4115090.1074,5017102.5624,196107.1923,417625.098,0.08324,0.699166,0.482094,334.0044,334.0044,0.0,"{legal=+251.43, social=+16.33, liquidity=+16.27, temporal=+1.55}"
agent_5bc2a81d7d,Saffron CAS Bank 43,Caspesia,CAS,262151.1447,313730.2052,11384.2795,265514.2236,0.846314,0.755833,0.50417,3106.0965,3106.0965,0.0,"{legal=+2372.22, liquidity=+146.89, social=+124.36, temporal=+0.73}"
agent_533be2e739,Meridian CAS Bank 44,Caspesia,CAS,176067.4996,210714.4518,10446.2538,269349.9003,1.27827,0.412453,0.503269,771.4481,771.4481,0.0,"{legal=+586.14, liquidity=+37.75, social=+33.48, temporal=+0.24}"
agent_735febd4c1,Argent DAM Bank 45,Damaria,DAM,32088.8716,19719.828,4148.3595,6098.4972,0.309257,0.601305,0.56074,13.2172,13.2172,0.0,"{legal=+9.73, liquidity=+1.36, social=+0.20, temporal=+0.00}"
agent_3b2941f48d,Green CYR Bank 46,Cyrenesia,CYR,163093.525,189445.3342,7822.8511,81359.7269,0.429463,0.530848,0.529124,480.7346,480.7346,0.0,"{legal=+367.05, social=+21.33, liquidity=+20.94, temporal=+0.16}"
agent_c6859cdac5,Omni CAS Bank 47,Caspesia,CAS,863672.0039,1051597.6226,23658.4898,264910.5883,0.251913,0.620599,0.657764,4710.1847,4710.1847,0.0,"{legal=+3570.16, liquidity=+234.11, social=+211.91, temporal=+1.37}"
agent_7058745451,Argent KAE Bank 48,Kaelreich,KAE,611163.82,722021.4232,17267.0331,744063.4319,1.030528,0.590689,0.561068,5509.0772,5509.0772,0.0,"{legal=+4173.12, social=+265.08, liquidity=+260.78, temporal=+2.33}"
agent_e4455dc875,Terra VAL Bank 49,Valenesia,VAL,119870.7358,137000.0917,4212.0147,122200.4562,0.891974,0.747971,0.733009,281.8253,281.8253,0.0,"{legal=+213.89, liquidity=+17.00, social=+9.04, temporal=+0.02}"
agent_2a8c726c13,Pioneer FAR Bank 50,Faronreich,FAR,285681.1809,345532.288,12407.654,146288.307,0.423371,0.630524,0.650892,427.2863,427.2863,0.0,"{legal=+316.73, liquidity=+37.69, social=+10.52, temporal=+0.06}"
agent_124d9077fd,Civitas FAR Bank 51,Faronreich,FAR,196692.2195,222499.5795,4732.5868,141658.5126,0.636669,0.655755,0.934007,375.8959,375.8959,0.0,"{legal=+281.12, liquidity=+29.68, social=+9.83, temporal=+0.04}"
agent_99aa381c7d,Meridian FAR Bank 52,Faronreich,FAR,322229.1029,363983.4775,11182.48,156259.7707,0.429305,0.809725,0.585606,481.696,481.696,0.0,"{legal=+363.72, liquidity=+31.90, social=+14.77, temporal=+0.06}"
agent_aac04b29fa,Atlas FJE Bank 53,Fjellstan,FJE,223387.6306,270513.5633,9126.7141,88954.4478,0.328835,0.282707,0.648362,26.1879,26.1879,0.0,"{legal=+20.13, liquidity=+1.21, social=+0.91, temporal=+0.01}"
agent_be74e8b87e,Saffron CYR Bank 54,Cyrenesia,CYR,55457.8791,65606.0647,2059.503,84402.0614,1.286498,0.320593,0.382491,156.1233,156.1233,0.0,"{legal=+118.89, liquidity=+7.80, social=+6.26, temporal=+0.03}"
agent_2a6335c7a1,Kinetic KAE Bank 55,Kaelreich,KAE,608473.7013,720489.0263,30872.1208,716706.2781,0.99475,0.495403,0.501584,5243.9542,5243.9542,0.0,"{legal=+3976.64, social=+270.76, liquidity=+226.11, temporal=+2.58}"
agent_e714e59a4b,Civitas PRA Bank 56,Praxmark,PRA,3677940.5689,4479830.3885,81215.2019,532412.7109,0.118847,0.64055,0.794937,3111.7523,3111.7523,0.0,"{legal=+2353.01, social=+165.21, liquidity=+137.08, temporal=+2.78}"
agent_b6eaa49f3e,Green CAS Bank 57,Caspesia,CAS,957233.31,1165019.2547,43604.627,305295.2331,0.262052,0.320476,0.569955,1358.7047,1358.7047,0.0,"{legal=+1022.53, liquidity=+79.54, social=+57.23, temporal=+0.73}"
agent_f5ab531737,Meridian DAM Bank 58,Damaria,DAM,19876.5137,16215.0996,2748.1134,5563.6984,0.343118,0.539864,0.753415,9.2996,9.2996,0.0,"{legal=+6.74, liquidity=+1.11, social=+0.10, temporal=+0.00}"
agent_1b9b1eb5ad,Vector FAR Bank 59,Faronreich,FAR,274135.856,332584.4222,12028.692,153218.0797,0.460689,0.806776,0.690313,378.1775,378.1775,0.0,"{legal=+286.64, liquidity=+23.34, social=+12.03, temporal=+0.04}"
agent_96b44d7276,Iron BOR Bank 60,Borealgrad,BOR,263365.4637,308413.9225,18182.3395,410215.9387,1.330082,0.452446,0.78643,351.5839,351.5839,0.0,"{legal=+267.18, liquidity=+17.40, social=+15.01, temporal=+0.07}"
agent_abb5aec1c4,Signal GAL Bank 61,Galenheim,GAL,476303.2707,563692.7157,27160.7492,293614.2928,0.520877,0.734452,0.680883,1073.6442,1073.6442,0.0,"{legal=+813.38, liquidity=+64.39, social=+36.75, temporal=+0.15}"
agent_58986533ec,Cobalt CAS Bank 62,Caspesia,CAS,783551.4269,954295.1322,34713.28,329895.7626,0.345696,0.560259,0.494833,1803.861,1803.861,0.0,"{legal=+1372.01, social=+86.18, liquidity=+78.87, temporal=+1.20}"
agent_e3bcc167da,Omni BEL Bank 63,Belreich,BEL,331082.0026,355112.3245,16821.2236,303067.8538,0.853442,0.61615,0.526575,1304.555,1304.555,0.0,"{legal=+987.85, liquidity=+84.45, social=+38.45, temporal=+0.10}"
agent_e4e825fe7b,Cobalt FJE Bank 64,Fjellstan,FJE,329830.6605,400722.3878,17766.0501,177346.3298,0.442567,0.400589,0.608403,44.9429,44.9429,0.0,"{legal=+34.11, liquidity=+2.72, social=+1.41, temporal=+0.03}"
agent_441206dcdb,Nexus WES Bank 65,Westrmark,WES,124963.2875,111301.4653,5775.4483,199428.5377,1.791787,0.443574,0.745908,279.5548,279.5548,0.0,"{legal=+208.98, liquidity=+21.96, social=+7.55, temporal=+0.03}"
agent_3b71b435bb,Blue BOR Bank 66,Borealgrad,BOR,1162027.1402,1246633.5275,28764.3247,440632.1906,0.353458,0.683336,0.671213,1386.1311,1386.1311,0.0,"{legal=+1048.36, liquidity=+74.78, social=+58.88, temporal=+0.39}"
agent_da8b564b7f,Argent ELD Bank 67,Eldorland,ELD,705159.7697,849298.9533,24018.5657,314850.1175,0.370718,0.689141,0.603878,1277.264,1277.264,0.0,"{legal=+971.07, liquidity=+59.56, social=+57.89, temporal=+0.37}"
agent_891b83cbbd,Saffron LUM Bank 68,Lumerterra,LUM,593440.5889,708542.0556,27423.9623,481266.9724,0.679236,0.259122,0.777288,1420.5615,1420.5615,0.0,"{legal=+1073.28, social=+70.08, liquidity=+69.10, temporal=+0.53}"
agent_56c9657c62,Nova DRA Bank 69,Dravesia,DRA,598009.9169,685615.0458,20468.0808,323258.118,0.471486,0.79869,0.458843,1013.5783,1013.5783,0.0,"{legal=+775.41, social=+45.15, liquidity=+42.25, temporal=+0.24}"
agent_986f387750,Nova QUO Bank 70,Quorinreich,QUO,682303.2206,824655.8107,32308.2257,176846.5421,0.214449,0.756795,0.53079,424.9709,424.9709,0.0,"{legal=+325.21, liquidity=+20.68, social=+15.51, temporal=+0.10}"
agent_a9e6ce56b1,Argent HEL Bank 71,Helioia,HEL,228663.7019,255942.7505,10286.7656,316511.5599,1.23665,0.430203,0.656261,389.0668,389.0668,0.0,"{legal=+298.13, liquidity=+19.35, social=+13.26, temporal=+0.03}"
agent_84b971e45c,Terra RHE Bank 72,Rhengrad,RHE,120634.1381,140874.5362,5446.8428,123946.233,0.879834,0.558194,0.780933,818.8648,818.8648,0.0,"{legal=+619.23, social=+42.06, liquidity=+37.51, temporal=+0.50}"
agent_10e4f09cf9,Sol FAR Bank 73,Faronreich,FAR,225187.287,233254.2878,10124.0319,143504.5374,0.615228,0.647654,0.660978,441.8817,441.8817,0.0,"{legal=+332.44, liquidity=+31.79, social=+12.38, temporal=+0.03}"
agent_d7c8270aed,Cobalt WES Bank 74,Westrmark,WES,219892.986,208135.5697,13921.4008,199025.235,0.956229,0.266526,0.668813,547.0769,547.0769,0.0,"{legal=+409.42, liquidity=+42.10, social=+15.15, temporal=+0.05}"
agent_77eeb5bb5b,Prism XAN Bank 75,Xandland,XAN,424768.5487,509466.2776,17571.1567,214276.5047,0.42059,0.596695,0.557389,459.8732,459.8732,0.0,"{legal=+349.26, liquidity=+24.11, social=+18.43, temporal=+0.08}"
agent_34cc6d26a2,Argent XAN Bank 76,Xandland,XAN,1169054.3749,1419336.1562,31418.11,194207.3233,0.13683,0.808271,0.532345,414.3439,414.3439,0.0,"{legal=+316.79, liquidity=+18.53, social=+17.23, temporal=+0.18}"
agent_a9dc540e97,Pioneer ELD Bank 77,Eldorland,ELD,583696.254,697509.1028,18122.1729,328061.2518,0.470333,0.815522,0.604666,1859.5939,1859.5939,0.0,"{legal=+1411.60, social=+90.78, liquidity=+83.32, temporal=+0.77}"
agent_69903eb4d1,Quantum HEL Bank 78,Helioia,HEL,545560.8346,648067.6666,14947.901,250302.8771,0.38623,0.650268,0.617106,689.3893,689.3893,0.0,"{legal=+523.57, liquidity=+37.23, social=+26.43, temporal=+0.11}"
agent_d4f85d877f,Omni MER Bank 79,Meridmark,MER,1605291.3028,1955801.4949,79640.8238,364099.5258,0.186164,0.838303,0.613739,335.3784,335.3784,0.0,"{legal=+254.11, social=+16.41, liquidity=+15.43, temporal=+0.29}"
agent_db60d0de85,Signal WES Bank 80,Westrmark,WES,483067.1971,583860.8734,25423.9692,200756.6938,0.343843,0.661322,0.455383,1173.1976,1173.1976,0.0,"{legal=+893.34, liquidity=+54.22, social=+51.95, temporal=+0.25}"
agent_393ce65123,Argent LUM Bank 81,Lumerterra,LUM,1180902.198,1388492.1235,28761.1165,535158.2453,0.385424,0.710031,0.822136,1798.3173,1798.3173,0.0,"{legal=+1359.45, social=+90.69, liquidity=+84.66, temporal=+0.82}"
agent_396356085c,Cobalt IST Bank 82,Istrpolis,IST,98492.0533,101191.8416,4948.2807,63851.0874,0.63099,0.516772,0.588518,237.6054,237.6054,0.0,"{legal=+180.00, liquidity=+14.80, social=+7.54, temporal=+0.02}"
agent_917594e697,Pioneer ARC Bank 83,Arcmere,ARC,135298.2418,165081.7239,7879.4519,59154.6975,0.358336,0.641668,0.517388,167.6989,167.6989,0.0,"{legal=+127.85, liquidity=+8.75, social=+6.12, temporal=+0.02}"
agent_646d03b4ed,Helix LUM Bank 84,Lumerterra,LUM,411321.1917,498866.5716,9168.9509,476163.7488,0.954491,0.31487,0.857846,584.731,584.731,0.0,"{legal=+442.42, liquidity=+29.71, social=+26.56, temporal=+0.24}"
agent_a3a053d264,Signal ULM Bank 85,Ulmarreich,ULM,359719.8493,436571.7881,11137.1039,340638.7118,0.780258,0.268893,0.765634,855.5524,855.5524,0.0,"{legal=+623.50, liquidity=+94.25, social=+14.44, temporal=+0.12}"
agent_177d3e05e1,Cobalt TAV Bank 86,Tavoresia,TAV,155691.1574,183135.1882,9245.3171,255315.1435,1.394135,0.3156,0.876779,163.0607,163.0607,0.0,"{legal=+125.20, social=+7.21, liquidity=+6.32, temporal=+0.03}"
agent_08b0c5d2b3,Pioneer VAL Bank 87,Valenesia,VAL,275200.5704,334909.8516,14221.2802,121492.9537,0.362763,0.698034,0.616396,282.0729,481.3423,199.2694,"{legal=+370.16, epistemic=-120.36, security=-30.57, liquidity=+20.24, social=+18.73, temporal=+0.07}"
agent_3ec69f09e1,Vertex BOR Bank 88,Borealgrad,BOR,711160.777,788734.338,31762.5341,441983.0458,0.56037,0.371824,0.754967,966.3365,966.3365,0.0,"{legal=+723.06, liquidity=+68.61, social=+33.22, temporal=+0.17}"
agent_63ea8fa0e5,Civitas ZER Bank 89,Zerinreich,ZER,125864.37,150273.1359,5064.0457,125589.3659,0.835741,0.507954,0.555885,155.1304,155.1304,0.0,"{legal=+117.78, liquidity=+7.60, social=+6.81, temporal=+0.08}"
agent_3ad4e753b7,Kinetic ULM Bank 90,Ulmarreich,ULM,1086253.2295,1016639.1287,33573.352,379160.6163,0.372955,0.539288,0.73695,1861.3946,1861.3946,0.0,"{legal=+1369.07, liquidity=+193.65, social=+27.51, temporal=+0.12}"
agent_819531056d,Green PRA Bank 91,Praxmark,PRA,1320299.1991,1606936.1312,33673.0619,513824.2136,0.319754,0.806139,0.719926,3560.6392,3560.6392,0.0,"{legal=+2671.80, social=+197.34, liquidity=+174.49, temporal=+2.80}"
agent_faab144e04,Sol KAE Bank 92,Kaelreich,KAE,3294194.1622,3999055.5609,157862.5407,764660.1847,0.19121,0.837501,0.467784,21092.8441,21092.8441,0.0,"{legal=+15792.65, social=+1215.06, liquidity=+1029.33, temporal=+22.09}"
agent_7809fea0dd,Vertex TAV Bank 93,Tavoresia,TAV,466778.2032,569197.1024,22750.6698,235636.6846,0.413981,0.35339,0.672335,233.9406,233.9406,0.0,"{legal=+176.90, social=+11.94, liquidity=+10.79, temporal=+0.13}"
agent_9bdb8377c0,Civitas EPH Bank 94,Ephyterra,EPH,441233.1975,534930.9785,25364.1191,216826.0373,0.405335,0.671055,0.705596,797.5671,797.5671,0.0,"{legal=+594.79, liquidity=+44.40, social=+42.98, temporal=+0.85}"
agent_7537b51e96,Nova XAN Bank 95,Xandland,XAN,54848.9005,60362.3809,1239.6858,202711.0582,3.358235,0.26559,0.417245,58.7209,58.7209,0.0,"{legal=+44.10, liquidity=+4.09, social=+1.90, temporal=+0.01}"
agent_187cd72db1,Helix HEL Bank 96,Helioia,HEL,1917122.4423,2291173.5739,48731.169,291307.9453,0.127144,0.802148,0.605149,741.4919,741.4919,0.0,"{legal=+560.98, liquidity=+42.22, social=+28.74, temporal=+0.28}"
agent_dd75b22a52,Cobalt MER Bank 97,Meridmark,MER,175382.5907,211304.8434,6096.6908,394163.6386,1.865379,0.426485,0.448787,144.6462,144.6462,0.0,"{legal=+109.75, liquidity=+7.13, social=+6.42, temporal=+0.05}"
agent_fec08b1276,Sol IST Bank 98,Istrpolis,IST,51585.1622,48668.9607,1294.0238,53894.6693,1.107373,0.742413,0.586323,152.2416,152.2416,0.0,"{legal=+113.37, liquidity=+13.07, social=+3.47, temporal=+0.01}"
agent_b6383993aa,Signal FJE Bank 99,Fjellstan,FJE,370803.1825,449874.4674,20658.8685,134939.271,0.299949,0.287955,0.56911,31.3193,31.3193,0.0,"{legal=+23.78, liquidity=+1.87, social=+1.00, temporal=+0.03}"
agent_aecbfd49c3,Cobalt BOR Bank 100,Borealgrad,BOR,331073.4044,404312.0272,10551.5544,436006.4937,1.078391,0.578133,0.734501,448.551,448.551,0.0,"{legal=+334.05, liquidity=+36.63, social=+12.23, temporal=+0.06}"
agent_d0aa08bdaa,Vector EPH Bank 101,Ephyterra,EPH,424659.3391,511381.9002,24243.449,174150.9469,0.34055,0.72943,0.690143,889.5519,889.5519,0.0,"{legal=+678.03, social=+40.08, liquidity=+39.57, temporal=+0.32}"
agent_0ce1cd6c0e,Astra MER Bank 102,Meridmark,MER,271598.8001,328531.9355,14503.0941,335782.8387,1.022071,0.531128,0.640175,237.623,237.623,0.0,"{legal=+179.75, social=+11.54, liquidity=+11.43, temporal=+0.12}"
agent_b61c4ac8c0,Kinetic EPH Bank 103,Ephyterra,EPH,430140.1569,515367.4493,10192.324,206549.6643,0.400781,0.838836,0.607944,1259.0222,1259.0222,0.0,"{legal=+958.92, liquidity=+59.99, social=+53.39, temporal=+0.32}"
agent_eef9790473,Union DRA Bank 104,Dravesia,DRA,471406.6143,542312.1651,14002.7645,330225.5117,0.608921,0.618852,0.708822,639.3433,639.3433,0.0,"{legal=+484.64, liquidity=+33.10, social=+27.27, temporal=+0.15}"
agent_07c4838f13,Atlas EPH Bank 105,Ephyterra,EPH,259944.1443,285603.7348,9988.0989,216474.4125,0.757954,0.829001,0.70161,754.9799,754.9799,0.0,"{legal=+574.92, liquidity=+34.82, social=+33.43, temporal=+0.19}"
agent_d83e651490,Sol FJE Bank 106,Fjellstan,FJE,170999.7549,206863.8874,7148.6563,142869.9478,0.690647,0.398429,0.504614,40.9572,40.9572,0.0,"{legal=+31.11, liquidity=+2.51, social=+1.23, temporal=+0.01}"
agent_1747797d72,Blue YMI Bank 107,Ymirterra,YMI,71772.2264,87417.6019,3104.9802,65445.4453,0.748653,0.398331,0.592758,123.412,123.412,0.0,"{legal=+91.35, liquidity=+10.95, social=+3.14, temporal=+0.02}"
agent_4e3ec570e8,Kinetic QUO Bank 108,Quorinreich,QUO,168131.3496,200098.7924,8445.1442,139650.2273,0.697906,0.651626,0.461792,-1497.9515,358.7702,1856.7217,"{epistemic=-1193.75, legal=+277.40, security=-217.74, liquidity=+14.75, social=+12.31, temporal=+0.06}"
agent_61c3e06691,Nexus PRA Bank 109,Praxmark,PRA,242007.253,294896.7875,11046.3459,592914.3868,2.010583,0.282123,0.621467,601.4692,601.4692,0.0,"{legal=+457.19, social=+31.47, liquidity=+24.28, temporal=+0.29}"
agent_13f9723648,Astra IST Bank 110,Istrpolis,IST,96731.1486,118330.9018,2976.5733,69176.0067,0.584598,0.766001,0.651002,339.6,339.6,0.0,"{legal=+255.56, liquidity=+24.66, social=+9.17, temporal=+0.03}"
