region,commune,biome,population,wellbeing_proxy,avg_health,avg_education,avg_autonomy,avg_trust,truth_error,democratic_quality,water_stock,food_stock,energy_stock,shelter_capacity,health_capacity,care_capacity,education_capacity,mobility_capacity,manufacturing_capacity,storage_capacity,governance_capacity,knowledge_capacity,resilience_capacity,repair_materials,waste,soil_health,biodiversity,watershed,local_pollution,renewable_infrastructure,top_priority_domain,top_priority,top_labor_domain,top_labor_share
Forest Equator Belt,ForestEq Commune 022,mountain_water,22304775.451,0.917487,0.618191,0.999176,0.831721,1.0,0.02,0.477453,0.0,0.0,0.0,876558956.338,357702967.586,601354958.066,417784324.378,222002286.835,314442980.462,528325367.487,366988139.594,714324617.686,406121949.426,89198175.62,474594.794,0.692819,0.782823,0.913907,0.01072,0.682312,water,0.874247,food,0.102919
Forest Equator Belt,ForestEq Commune 659,mountain_water,24778470.811,0.980276,0.941671,0.996489,0.926836,1.0,0.02,0.638568,2959736.042,0.0,1856013.919,1181968567.737,918184194.625,1102339442.218,869758437.147,536282172.026,482055733.236,776436818.052,796910060.699,1259492868.177,835692431.962,124893487.222,527169.319,0.859801,1.0,1.0,2.6e-05,0.685745,food,0.876633,food,0.103021
Forest Equator Belt,ForestEq Commune 469,mountain_water,35795703.761,0.993935,1.0,0.97514,0.959567,1.0,0.02,0.789801,2186216.803,0.0,1260222.692,1920930866.432,1688914941.203,1664928028.78,1330475429.281,774985687.622,669869492.069,1177801466.259,1171996872.728,1711683650.055,1336066696.989,113600282.791,761544.124,1.0,1.0,1.0,3.8e-05,0.551948,food,0.874338,food,0.102435
Forest Equator Belt,ForestEq Commune 973,mountain_water,11004870.84,0.976655,0.971448,0.984463,0.872916,1.0,0.02,0.66971,897820.839,0.0,783489.772,483170867.624,458042059.039,442807517.203,320411622.182,176960365.977,182462052.151,331825950.42,339312137.655,500578796.273,359735621.673,28873418.515,234128.665,0.718485,0.727575,0.971103,0.06947,0.822313,food,0.861165,food,0.101912
Forest Equator Belt,ForestEq Commune 655,mountain_water,21731561.91,0.990029,1.0,0.983242,0.933526,1.0,0.02,0.838946,120562.134,0.0,465798.355,1139993978.034,930381606.614,863213893.026,806248218.118,335488840.651,388983242.433,707428673.691,840721611.247,1076867809.983,911647319.885,71816223.077,462334.277,0.939367,0.92661,1.0,2.3e-05,0.568063,water,0.896718,food,0.100741
Forest Equator Belt,ForestEq Commune 645,mountain_water,76115903.561,0.994215,1.0,0.983084,0.961436,1.0,0.02,0.71311,10593025.908,4608288.325,8079964.012,4886384868.503,4400511676.597,4595743450.361,3675798992.735,2122487323.294,1677165353.893,2893609094.122,2663986564.528,4081198302.72,3527872504.576,282685008.0,1619349.304,1.0,1.0,1.0,8.1e-05,0.689195,food,0.853972,food,0.101016
Delta Commons,DeltaCom Commune 010,steppe_grainland,196924366.729,0.997521,1.0,0.966849,0.983473,1.0,0.02,0.729026,20309560.958,31528071.894,18584586.661,11934171659.138,12691653742.398,11854684645.377,8218110840.695,5164328612.191,4090163246.35,6759046477.956,8056959728.875,10097066938.721,7742662596.473,351653261.321,4189504.06,1.0,1.0,1.0,0.000209,0.802922,water,0.85418,food,0.097718
Delta Commons,DeltaCom Commune 139,steppe_grainland,57430553.824,0.999155,1.0,1.0,0.994367,1.0,0.02,0.587295,9035328.092,11220732.705,6510924.709,3911380759.179,4438572213.085,3487691339.737,2645251588.845,2191513741.27,1380770304.006,2357049764.888,2353245566.322,3969109534.491,2432981327.722,316685412.4,1221828.336,1.0,1.0,1.0,6.1e-05,0.857368,water,0.839583,food,0.096278
Delta Commons,DeltaCom Commune 891,steppe_grainland,67556882.085,0.992814,1.0,1.0,0.952091,1.0,0.02,0.622276,7480919.776,7352386.862,3926951.44,3740089684.307,3508671277.537,2821520013.926,2542759205.293,1472844282.313,1309164142.054,2327591745.57,1798637891.539,3276408062.469,1905224550.878,244014629.016,1437264.789,1.0,1.0,1.0,7.2e-05,0.598242,food,0.856317,food,0.099786
Delta Commons,DeltaCom Commune 653,steppe_grainland,100794851.667,0.993728,1.0,1.0,0.958188,1.0,0.02,0.536769,16444777.7,18791288.629,20621628.525,6813071493.32,6424353029.328,6327133615.592,4581865460.885,3666826896.586,2359026522.478,3975653403.307,3586529233.257,6553034485.881,3948632055.221,486538186.116,2144398.716,1.0,1.0,1.0,0.000107,0.681651,water,0.840988,food,0.096734
Delta Commons,DeltaCom Commune 110,steppe_grainland,114375988.208,0.996649,0.977916,0.994758,0.999743,1.0,0.02,0.627831,12982336.908,65222299.563,30388382.667,5409323773.826,5222461518.343,5241925562.229,4220767459.186,2486488382.578,2118643767.188,3262005941.411,3793063929.039,5629250407.652,3623151636.73,362788967.661,2433351.045,1.0,1.0,1.0,0.000122,0.801722,water,0.852193,water,0.096742
Delta Commons,DeltaCom Commune 953,steppe_grainland,131161365.64,0.993231,1.0,0.976756,0.954873,1.0,0.02,0.794989,17529617.026,149750568.407,97293919.005,5801519002.301,5197859923.88,4614469227.422,4827961392.476,2946467618.591,1939435513.101,3912015436.194,4540786541.338,5014947218.516,4747953197.538,173731514.266,2790424.603,1.0,1.0,1.0,0.00014,0.889043,water,0.866714,water,0.101431
Delta Commons,DeltaCom Commune 831,steppe_grainland,87416570.364,0.916533,0.627054,0.956739,0.8165,1.0,0.02,0.515584,0.0,0.0,0.0,2422099027.107,372896299.659,1139854772.008,762850011.481,259644208.199,898440562.289,1435590652.674,1012121883.341,1687474505.896,711359701.148,123569845.171,1859997.545,1.0,0.972485,0.803335,9.3e-05,0.508969,water,0.878412,food,0.103393
Delta Commons,DeltaCom Commune 235,steppe_grainland,86694673.405,0.998978,1.0,0.987944,0.993184,1.0,0.02,0.700135,15878858.243,313357864.658,83103626.376,5712609300.847,6450397675.995,6025497656.217,4625524414.84,3188413769.746,2220101254.801,3717652978.343,4103872192.055,5699958023.658,4688500322.562,568822530.298,1844412.843,1.0,1.0,1.0,9.2e-05,0.886746,water,0.85318,water,0.100627
Temperate Ring,Temperate Commune 066,subpolar_periphery,27365614.455,0.875124,0.543418,0.954638,0.844712,1.0,0.02,0.716436,0.0,0.0,0.0,1009384030.375,566595865.646,711346234.759,505369439.394,176487924.886,364185478.191,615839540.505,575778684.861,749719859.023,540176687.202,41483479.153,587304.188,0.679266,0.790994,0.857541,2.9e-05,0.917582,water,0.874465,food,0.101788
Temperate Ring,Temperate Commune 322,subpolar_periphery,141093813.746,0.999449,1.0,1.0,0.996325,1.0,0.02,0.653349,128736549.091,62566846.282,200104799.592,9425210618.083,11517320597.652,9996603522.175,6462622551.403,5214714498.597,3051046455.637,5731485862.192,5873014526.491,8256198845.533,6522396657.648,388991056.026,3001754.435,1.0,1.0,1.0,0.00015,0.891217,food,0.72189,food,0.092567
Temperate Ring,Temperate Commune 364,subpolar_periphery,87209665.129,0.976003,0.995457,1.0,0.844565,1.0,0.02,0.535059,95804807.231,20677249.479,37072547.783,4794476921.127,4922960539.972,4244093832.624,3129956208.876,2139769274.888,1757966259.739,3202370358.635,2617238697.177,5117568458.756,2783533732.031,333468238.96,1855378.406,1.0,1.0,1.0,9.3e-05,0.540983,food,0.801934,food,0.100302
Temperate Ring,Temperate Commune 021,subpolar_periphery,96989387.861,0.869276,0.618415,0.968522,0.909545,1.0,0.02,0.546914,0.0,0.0,0.0,4449833192.18,2639926459.849,3155675961.638,2439252117.426,1065930930.371,1391447078.6,2603292781.654,1965200542.665,3261407725.801,2147697067.146,35132783.662,2301119.338,1.0,1.0,1.0,0.000115,0.534926,water,0.869656,food,0.102769
Temperate Ring,Temperate Commune 536,subpolar_periphery,44733159.836,0.915879,0.705937,0.960321,0.878428,1.0,0.02,0.519671,0.0,0.0,3108310.226,1681013110.201,1199097402.138,1321337626.201,766781599.164,544104354.962,609642229.436,995108508.479,703696188.237,1309065323.436,767823014.726,26222881.268,957177.207,0.953679,0.892375,1.0,4.8e-05,0.759528,water,0.877158,food,0.103341
Temperate Ring,Temperate Commune 917,subpolar_periphery,31609306.347,0.808883,0.157297,0.962035,0.847047,1.0,0.02,0.682232,0.0,0.0,0.0,776758542.848,2905593.706,334803780.847,290934279.287,23825331.007,278498912.713,500853409.162,343425641.603,505806094.372,316529293.775,34635868.983,679992.07,0.613999,0.651245,0.711409,3.4e-05,0.626904,water,0.874179,food,0.098372
Temperate Ring,Temperate Commune 414,subpolar_periphery,62006692.03,0.973216,0.919486,0.966272,0.901951,1.0,0.02,0.641274,42381945.052,0.0,36199275.932,2647581046.637,1866431931.93,1960541284.414,1525490165.096,858413651.365,931706574.585,1443769091.529,1374031164.623,2214732491.231,1256918476.953,141321965.03,1319209.853,1.0,1.0,1.0,6.6e-05,0.922088,food,0.876851,food,0.10688
Temperate Ring,Temperate Commune 872,subpolar_periphery,43313992.641,0.857442,0.391427,0.959714,0.911469,1.0,0.02,0.668779,0.0,0.0,0.0,1380350578.993,259582569.003,901349613.203,644900587.128,133644198.436,427811258.572,846881337.066,631497910.374,911483966.256,584777327.86,9751127.709,1053369.347,0.834474,0.835898,0.830726,5.3e-05,0.959125,water,0.865366,food,0.102764
Dryland Solar Arc,DrylandS Commune 047,drylands,50488672.294,0.987417,0.916113,0.994334,1.0,1.0,0.02,0.844475,40261902.829,42250671.724,27596783.025,2555360399.728,1549622156.923,2393773201.236,1808177933.278,1172198266.053,896179689.632,1650772814.474,1951152341.023,2436787254.57,2086441020.729,97303504.866,1074170.442,1.0,1.0,0.905794,5.4e-05,0.675209,energy,0.670432,energy,0.081742
Dryland Solar Arc,DrylandS Commune 391,drylands,45104709.681,0.997657,1.0,0.983378,0.984382,1.0,0.02,0.754357,93435461.421,42851175.343,309851673.299,3082446091.76,3313655977.209,2987433852.183,2228102160.742,1684986972.681,985915435.88,1900572852.571,2130885374.107,2844724394.217,2422063957.149,197234734.159,959592.974,1.0,1.0,0.988827,4.8e-05,1.0,ecology,0.600005,ecology,0.077387
Dryland Solar Arc,DrylandS Commune 340,drylands,40906199.684,0.980079,0.985254,0.99967,0.881942,1.0,0.02,0.578116,36825165.59,26212802.863,29977016.333,2491817819.239,2141684078.458,2012003856.28,1650297187.992,949574718.077,824412267.654,1445989701.641,1206249710.927,2522777551.458,1497465735.419,162639637.283,870279.038,0.942281,1.0,0.777805,4.4e-05,0.541545,food,0.649247,food,0.084459
Dryland Solar Arc,DrylandS Commune 847,drylands,98297194.674,0.731465,0.05,0.976473,0.6832,1.0,0.02,0.55321,0.0,0.0,0.0,1919466614.048,5884065.87,689623363.356,487970341.652,16472757.13,702995682.189,1265280759.642,624515351.034,1482380270.716,618009746.414,133388440.247,2440921.625,0.888021,0.963472,0.761626,0.000122,0.731193,water,0.869333,food,0.098967
Dryland Solar Arc,DrylandS Commune 020,drylands,25177065.532,0.97701,0.887453,0.980492,0.959282,1.0,0.02,0.813326,4788030.461,2291918.636,13027721.369,1274817478.088,907359149.15,985466200.162,950338990.979,453682783.001,402655678.195,814318947.283,891169057.786,1173763025.473,895849656.159,15146102.002,535657.303,0.735548,0.830972,0.571038,2.7e-05,0.667636,food,0.869814,food,0.101922
Dryland Solar Arc,DrylandS Commune 824,drylands,26287474.468,0.997781,1.0,1.0,0.985209,1.0,0.02,0.838302,35218465.07,27757669.241,36216484.744,1928433042.312,2101007004.203,2108936411.225,1723622321.953,1058334448.55,634841792.972,1184011947.505,1570850253.176,2102640917.668,1337326785.543,116154041.079,559262.954,0.990982,1.0,0.76273,2.8e-05,0.78384,ecology,0.620537,ecology,0.08003
Dryland Solar Arc,DrylandS Commune 943,drylands,154814551.007,1.0,1.0,1.0,1.0,1.0,0.02,0.628433,506895321.598,133107607.308,589343959.343,11440800110.723,12625746309.421,13606129267.763,9407473189.236,6391514209.106,4452827785.44,7838491744.288,7752440713.676,13092444795.412,7809268948.314,1036393388.157,3293661.52,1.0,1.0,1.0,0.000165,0.756194,ecology,0.590738,ecology,0.077698
Dryland Solar Arc,DrylandS Commune 415,drylands,112536840.021,0.988254,0.971645,0.981166,0.95005,1.0,0.02,0.452644,85303479.978,22114359.232,80379993.202,5281401248.008,3963485765.426,4431156343.441,2502596687.215,1778445156.761,1810664396.022,3405416110.787,2031592877.321,4632944677.667,2255715406.541,325947724.632,2394219.281,1.0,1.0,1.0,0.00012,0.870832,food,0.813069,food,0.101576
Mountain Water Towers,Mountain Commune 239,urban_corridor,90611119.107,1.0,1.0,1.0,1.0,1.0,0.02,0.845794,167864613.96,53085639.109,77586902.918,5536172200.747,6084762719.317,5418337068.516,5234722715.267,3389817979.398,1949574169.69,3668755310.601,4864123639.715,5710381801.264,4578541780.524,282974541.632,1927740.993,1.0,1.0,1.0,9.6e-05,0.860913,food,0.687162,food,0.084753
Mountain Water Towers,Mountain Commune 065,urban_corridor,139839649.727,0.964873,0.833967,0.993049,0.931852,1.0,0.02,0.622228,0.0,0.0,0.0,5073612558.934,1991549587.192,3473407246.949,3033178206.54,2007200015.556,1659089158.311,3146219620.176,2812180554.777,4371911598.143,2172851345.747,73031698.142,2975239.307,1.0,1.0,1.0,0.000149,0.735551,water,0.89579,food,0.10095
Mountain Water Towers,Mountain Commune 376,urban_corridor,74311695.153,0.990289,0.966742,0.973997,0.968518,1.0,0.02,0.664797,51273871.68,26155523.212,25552911.314,3496639198.02,2816374623.58,2823788502.935,2577932883.185,1362962349.688,1309946493.157,2326933879.057,2083539743.248,3031948596.56,2259223157.852,237078732.863,1580979.54,1.0,1.0,1.0,7.9e-05,0.929759,food,0.778519,food,0.092822
Mountain Water Towers,Mountain Commune 712,urban_corridor,132500381.145,0.974948,0.985401,0.973664,0.847583,1.0,0.02,0.573052,0.0,0.0,0.0,5329247567.155,3377333895.984,3601639349.257,2282535030.169,1846093213.953,1678123837.33,3085579351.401,2373522214.634,4532314650.988,2181589104.151,145855675.716,2818923.777,1.0,1.0,1.0,0.000141,0.746533,water,0.888349,food,0.101929
Mountain Water Towers,Mountain Commune 368,urban_corridor,62749585.914,0.997992,1.0,0.981131,0.986614,1.0,0.02,0.721975,256363687.493,41973435.995,40091588.496,3965714759.505,4010963431.795,3451370452.116,2935320234.904,2065755056.933,1387920041.48,2431531063.497,2556048502.526,3806434543.359,2796110199.297,200788791.528,1334983.072,1.0,1.0,1.0,6.7e-05,0.643336,food,0.655332,food,0.081642
Mountain Water Towers,Mountain Commune 004,urban_corridor,58027217.036,1.0,1.0,0.974434,1.0,1.0,0.02,0.796845,0.0,0.0,0.0,2727890112.075,2616817670.657,2776453034.576,2486256260.729,1268662933.722,788709772.924,1795237510.982,2192091754.144,2299668119.772,1880836694.522,5111251.35,1234513.441,1.0,1.0,1.0,6.2e-05,0.462602,water,0.894475,food,0.100645
Mountain Water Towers,Mountain Commune 817,urban_corridor,27365969.667,0.999481,1.0,0.996461,0.996537,1.0,0.02,0.800647,28343641.474,0.0,3326580.523,1375804482.562,1314854670.057,1411557244.93,1216288782.356,719519782.009,553350388.464,854178723.704,1046945710.024,1432368629.053,1155360212.624,76509055.862,582207.237,0.854258,0.763405,0.879805,0.133034,0.57956,food,0.885998,food,0.10383
Mountain Water Towers,Mountain Commune 913,urban_corridor,123554027.095,0.87629,0.398617,0.952772,0.776648,1.0,0.02,0.638781,0.0,0.0,0.0,2466242395.831,39671534.064,629137661.273,476148143.189,66612793.466,757482793.595,1518818822.753,944276084.76,1649132041.599,554450796.766,53072058.8,2629116.014,0.94608,0.814736,0.949145,0.104987,0.574358,water,0.899673,food,0.101571
Steppe Grain Commons,SteppeGr Commune 404,equatorial_forest,65514444.433,0.994376,0.96766,0.957794,0.994848,1.0,0.02,0.783197,0.0,0.0,0.0,2536729315.79,1984839753.882,2324193359.061,1906178047.873,917038967.621,1022647527.838,1677838246.265,1776136740.758,2360410215.757,1992237288.044,72525651.173,1393811.471,1.0,1.0,1.0,7e-05,0.542001,food,0.883252,food,0.102934
Steppe Grain Commons,SteppeGr Commune 541,equatorial_forest,68610467.405,0.993155,1.0,1.0,0.954366,1.0,0.02,0.628356,265091749.559,67249942.875,34989968.021,3875547883.87,4171721888.551,3699387981.307,2616591422.249,1739649124.845,1161032928.21,2471899133.098,2414102183.678,3974675472.874,2521978551.005,33462083.714,1459679.693,1.0,1.0,1.0,7.3e-05,0.535043,energy,0.676324,energy,0.084523
Steppe Grain Commons,SteppeGr Commune 504,equatorial_forest,142518112.046,0.957363,0.917627,0.947668,0.798124,1.0,0.02,0.509407,35299632.998,35833287.451,65841852.139,4617131678.835,3278331080.361,3026310004.567,2128197336.831,1831015882.793,1778254731.16,2763606485.641,2397872779.547,3935811932.593,2422298513.21,215342271.337,3032099.192,1.0,1.0,1.0,0.000152,0.997899,water,0.823445,food,0.097097
Steppe Grain Commons,SteppeGr Commune 856,equatorial_forest,40986035.161,0.999684,1.0,0.988635,0.997896,1.0,0.02,0.701654,185697845.695,103848013.593,38235452.769,2720086342.46,2923929017.205,2895939250.4,1922504997.094,1427325982.672,1051175367.36,1606524373.804,1711891831.704,2402661910.414,2114300662.483,227564741.288,871970.345,1.0,1.0,1.0,4.4e-05,0.85532,ecology,0.597239,ecology,0.078004
Steppe Grain Commons,SteppeGr Commune 208,equatorial_forest,68420016.546,0.999094,1.0,0.959155,0.993958,1.0,0.02,0.850028,87841092.22,60495613.603,31446529.074,4428853512.204,4271092640.311,4338849898.454,3770880981.934,2051796405.941,1438306171.17,2647157268.691,3246744853.221,3976948820.911,3709450986.535,72690507.91,1455611.23,1.0,1.0,1.0,7.3e-05,0.546916,energy,0.697717,energy,0.085353
Steppe Grain Commons,SteppeGr Commune 516,equatorial_forest,50025783.969,0.97208,0.961146,0.976429,0.852723,1.0,0.02,0.564976,44470799.252,43203152.293,25603709.753,2375331739.145,1587345625.225,1954178224.427,1439472655.382,920999221.741,715165098.939,1509287610.296,1222560352.872,2099196794.748,1264934290.245,95013307.15,1064300.168,1.0,1.0,1.0,5.3e-05,0.854977,energy,0.679961,energy,0.083594
Steppe Grain Commons,SteppeGr Commune 706,equatorial_forest,260682993.849,0.97023,0.917398,0.949032,0.884134,1.0,0.02,0.591471,76277892.491,0.0,18399757.434,10702276580.885,6006804860.14,8239218118.02,5322396998.483,2986608343.244,3446012570.873,6165014473.413,5222269372.606,7960371431.216,4901621203.612,53005185.925,5546081.471,1.0,1.0,1.0,0.000277,0.748503,food,0.867869,food,0.102943
Steppe Grain Commons,SteppeGr Commune 055,equatorial_forest,82574269.114,1.0,1.0,0.968839,1.0,1.0,0.02,0.727911,229391972.343,83616936.958,49843092.007,4680852210.274,5156905605.022,4705179322.475,3656597886.838,2314320295.834,1454955347.199,3033031098.03,3052501312.786,4851244505.753,3831326292.658,43600098.995,1756742.622,1.0,1.0,1.0,8.8e-05,0.694585,energy,0.628757,energy,0.080023
Urban Repair Web,UrbanRep Commune 116,temperate_mixed,168827273.047,0.997964,1.0,0.999131,0.986428,1.0,0.02,0.80763,273237735.589,399529316.627,108730177.369,9398291802.866,10999530508.696,9530802756.2,8980869852.472,6279043760.077,3621244518.365,6442341197.152,7480382351.076,10479145813.934,8585954968.69,565930167.565,3591779.673,1.0,1.0,1.0,0.00018,0.911043,energy,0.625873,energy,0.077238
Urban Repair Web,UrbanRep Commune 482,temperate_mixed,336872081.3,0.994764,1.0,0.983207,0.965096,1.0,0.02,0.663016,1117170711.163,2299727524.705,280175336.002,20679152248.997,18126358344.54,17976499849.222,14868895674.271,11819999120.003,7564851094.842,12879350780.9,11290173689.671,18753888153.63,12354584556.969,1606355568.581,7166880.556,1.0,1.0,1.0,0.000358,0.88626,ecology,0.607099,ecology,0.077895
Urban Repair Web,UrbanRep Commune 446,temperate_mixed,57182273.779,0.981801,1.0,0.97981,0.878672,1.0,0.02,0.610396,55854582.351,95312993.763,38741746.788,2908272933.909,2687134816.183,2267180769.233,1993998223.211,1577999336.167,1126375967.624,1961900692.077,1708174531.032,2932757738.682,1816929645.327,259042568.412,1216539.331,1.0,1.0,1.0,6.1e-05,0.941755,energy,0.616743,energy,0.077467
Urban Repair Web,UrbanRep Commune 450,temperate_mixed,176421828.952,0.992057,1.0,1.0,0.947049,1.0,0.02,0.709838,333531537.485,910430462.138,133364983.139,10542734450.133,12557071569.911,10073745836.609,8723553587.156,5698532968.904,4314848181.604,7379555138.056,8332515965.29,12150890672.165,8786008798.195,1131170524.481,3753353.839,1.0,1.0,1.0,0.000188,0.808913,ecology,0.60384,ecology,0.076312
Urban Repair Web,UrbanRep Commune 754,temperate_mixed,82670934.92,0.999508,1.0,0.986236,0.996723,1.0,0.02,0.616506,600532850.605,570900938.151,59818722.634,6043855935.876,6821636379.447,5788822027.678,4304366007.0,3242023068.432,2327213363.626,3958884792.432,3836338980.821,6263621637.248,4434573895.256,578307200.866,1758807.723,1.0,1.0,1.0,8.8e-05,0.66053,ecology,0.605834,ecology,0.077432
Urban Repair Web,UrbanRep Commune 817,temperate_mixed,204820298.136,0.951197,0.793232,0.984314,0.881414,1.0,0.02,0.471294,0.0,0.0,0.0,7193567683.233,3495759957.868,4735557430.24,3373189341.065,1864502453.579,2414328610.584,4373222391.733,3252594705.077,5949808927.736,3452138888.967,310155904.725,4357824.118,1.0,1.0,1.0,0.000218,0.506884,water,0.886631,food,0.101898
Urban Repair Web,UrbanRep Commune 690,temperate_mixed,254466781.76,0.99629,1.0,0.950224,0.975268,1.0,0.02,0.713822,223974463.257,632368053.586,150353198.758,13298154808.343,11832166689.633,14197129515.058,9668361868.167,6256773045.295,4471749494.898,8735970381.624,9498590589.302,11696980804.531,9385904830.111,104273377.536,5413675.675,1.0,1.0,1.0,0.000271,0.759859,energy,0.645288,energy,0.080161
Urban Repair Web,UrbanRep Commune 499,temperate_mixed,292062981.927,0.998367,1.0,1.0,0.98911,1.0,0.02,0.485858,3376743223.744,3504040901.587,280512837.863,23949677277.346,26427945603.996,23731000788.456,14170083078.813,14728678671.126,8739075715.868,14186530796.01,12341392608.04,24660219634.219,14546616246.778,2288493598.357,6213605.883,1.0,1.0,1.0,0.000311,0.932072,ecology,0.597666,ecology,0.078303
Coastal Wind Belt,CoastalW Commune 607,coastal_delta,374668423.66,0.992498,1.0,0.977204,0.949985,1.0,0.02,0.637354,509347550.669,3567833146.911,205370310.203,22798731650.325,28055539942.341,19814489295.305,16796032987.071,10691830415.096,8101473203.079,15328216774.139,13944908762.608,22207134827.99,14429732536.658,824288915.321,7970976.157,1.0,1.0,1.0,0.000399,0.575961,energy,0.665368,energy,0.082419
Coastal Wind Belt,CoastalW Commune 746,coastal_delta,163946629.726,0.995529,1.0,0.968633,0.97019,1.0,0.02,0.623254,205142404.942,319063006.727,69162657.711,8555661694.495,9243679670.743,7707927726.842,5823491420.016,4095237287.655,3272693819.403,5243792467.822,4550016880.805,7794392218.938,5640308648.859,423410068.858,3487914.803,1.0,1.0,1.0,0.000174,0.76229,energy,0.710823,energy,0.087593
Coastal Wind Belt,CoastalW Commune 001,coastal_delta,110734707.251,0.996476,1.0,1.0,0.976507,1.0,0.02,0.617876,984131727.124,1591083296.601,63194470.88,7655421491.253,8224493667.545,8872488535.139,5649179806.881,4555860161.618,3159063898.214,4971442984.618,5237209580.55,8132528382.273,5524776124.982,656200669.748,2355867.984,1.0,1.0,1.0,0.000118,0.515639,energy,0.664076,energy,0.081726
