step,kind,legacy_term_replaced,action,domain,sector,from_region,from_commune,to_region,to_commune,activated_effect,causal_link,direction_vector,note,causality,time,intensity,existence,potencies,effects,substance,matter,difference,determination,phenomena,angle_direction
120,contribution_offer,sell/labour_supply,activate_causal_effect,water,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,41284888.2009,water:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.237; difference=3.705; determination=3.326,"contribution time directed by truth-vector priority, not wage/price",3.52,3.272368,3.393323,3.793323,2.311334,3.88,3.132871,3.491119,3.704747,3.325565,4.0,3.237109
120,contribution_offer,sell/labour_supply,activate_causal_effect,knowledge,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,21646174.13281,knowledge:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.195; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.76,1.093232,0.544,0.816,2.544046,3.28,3.132871,3.491119,0.0,1.287954,0.795182,3.195136
120,contribution_offer,sell/labour_supply,activate_causal_effect,resilience,risk_protection,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,22559389.10712,resilience:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.206; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",2.52,1.317232,0.656,0.984,2.402289,3.52,3.132871,3.491119,0.0,1.287954,0.795182,3.205799
120,contribution_offer,sell/labour_supply,activate_causal_effect,repair,circular_industry,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,22178233.524953,repair:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.297; difference=0.000; determination=1.288,"contribution time directed by truth-vector priority, not wage/price",3.28,0.933232,0.464,0.696,2.220561,2.88,3.132871,3.491119,0.0,1.287954,0.795182,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,ecology,planetary_regeneration,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,30311590.493903,ecology:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.297; difference=1.029; determination=1.854,"contribution time directed by truth-vector priority, not wage/price",2.76,1.940115,1.45604,1.82404,2.87549,3.84,3.132871,3.491119,1.028628,1.8537,1.813524,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,waste,material_difference_resolution,Aqua-North Basin,Aqua-Nort Commune 900,Aqua-North Basin,Aqua-Nort Commune 900,26707893.961763,waste:Aqua-Nort Commune 900->Aqua-Nort Commune 900,angle=3.297; difference=0.851; determination=1.756,"contribution time directed by truth-vector priority, not wage/price",3.36,1.508177,1.155692,1.435692,2.220561,3.04,3.132871,3.491119,0.850988,1.755998,1.63766,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,water,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,85945487.732474,water:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.252; difference=3.652; determination=3.358,"contribution time directed by truth-vector priority, not wage/price",3.52,3.248821,3.356693,3.756693,2.306473,3.88,3.144075,3.505362,3.652419,3.357516,4.0,3.251685
120,contribution_offer,sell/labour_supply,activate_causal_effect,food,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,89395656.214093,food:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.252; difference=3.721; determination=3.395,"contribution time directed by truth-vector priority, not wage/price",3.28,3.199612,3.364591,3.744591,2.496719,3.76,3.144075,3.505362,3.720845,3.395151,4.0,3.251685
120,contribution_offer,sell/labour_supply,activate_causal_effect,energy,infrastructure_energy,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,83936389.699195,energy:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.208; difference=3.798; determination=3.438,"contribution time directed by truth-vector priority, not wage/price",3.12,2.962465,3.282806,3.594806,2.287961,3.2,3.144075,3.505362,3.798294,3.437748,4.0,3.208
120,contribution_offer,sell/labour_supply,activate_causal_effect,shelter,social_infrastructure,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,49648873.283984,shelter:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.120; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.92,1.381232,0.688,1.032,2.720377,3.52,3.144075,3.505362,0.0,1.348686,0.819474,3.12
120,contribution_offer,sell/labour_supply,activate_causal_effect,health,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,51014162.867109,health:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.252; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",3.04,1.445232,0.72,1.08,2.232704,3.64,3.144075,3.505362,0.0,1.348686,0.819474,3.251685
120,contribution_offer,sell/labour_supply,activate_causal_effect,care,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,48441557.691929,care:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.252; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",3.24,1.221232,0.608,0.912,2.274361,3.2,3.144075,3.505362,0.0,1.348686,0.819474,3.251685
120,contribution_offer,sell/labour_supply,activate_causal_effect,education,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,44135201.003894,education:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=2.591; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.8,0.997232,0.496,0.744,2.307636,3.0,3.144075,3.505362,0.0,1.348686,0.819474,2.59147
120,contribution_offer,sell/labour_supply,activate_causal_effect,mobility,logistics_circulation,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,40633503.815451,mobility:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=2.867; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.64,0.805232,0.4,0.6,2.39037,2.28,3.144075,3.505362,0.0,1.348686,0.819474,2.8672
120,contribution_offer,sell/labour_supply,activate_causal_effect,manufacturing,material_transformation,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,47086923.224952,manufacturing:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.576; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.88,1.061232,0.528,0.792,2.963371,2.96,3.144075,3.505362,0.0,1.348686,0.819474,3.576
120,contribution_offer,sell/labour_supply,activate_causal_effect,storage,resilience_capital,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,45106931.701744,storage:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.360; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",3.08,1.029232,0.512,0.768,2.385304,3.08,3.144075,3.505362,0.0,1.348686,0.819474,3.36
120,contribution_offer,sell/labour_supply,activate_causal_effect,governance,institutional_coordination,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,45868109.269275,governance:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.280; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.68,1.189232,0.592,0.888,2.326833,3.44,3.144075,3.505362,0.0,1.348686,0.819474,3.28016
120,contribution_offer,sell/labour_supply,activate_causal_effect,knowledge,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,45984680.142805,knowledge:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.280; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.76,1.093232,0.544,0.816,2.844162,3.28,3.144075,3.505362,0.0,1.348686,0.819474,3.28016
120,contribution_offer,sell/labour_supply,activate_causal_effect,resilience,risk_protection,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,47867732.368901,resilience:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.291; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",2.52,1.317232,0.656,0.984,2.701397,3.52,3.144075,3.505362,0.0,1.348686,0.819474,3.290823
120,contribution_offer,sell/labour_supply,activate_causal_effect,repair,circular_industry,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,46295819.034877,repair:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.297; difference=0.000; determination=1.349,"contribution time directed by truth-vector priority, not wage/price",3.28,0.933232,0.464,0.696,2.232156,2.88,3.144075,3.505362,0.0,1.348686,0.819474,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,ecology,planetary_regeneration,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,62122673.836278,ecology:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.297; difference=1.029; determination=1.914,"contribution time directed by truth-vector priority, not wage/price",2.76,1.940138,1.456075,1.824075,2.242154,3.84,3.144075,3.505362,1.028679,1.91446,1.837867,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,waste,material_difference_resolution,Aqua-North Basin,Aqua-Nort Commune 883,Aqua-North Basin,Aqua-Nort Commune 883,55802713.856644,waste:Aqua-Nort Commune 883->Aqua-Nort Commune 883,angle=3.297; difference=0.851; determination=1.817,"contribution time directed by truth-vector priority, not wage/price",3.36,1.508177,1.155692,1.435692,2.232156,3.04,3.144075,3.505362,0.850988,1.816729,1.661953,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,water,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,36602086.202011,water:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.252; difference=3.505; determination=3.278,"contribution time directed by truth-vector priority, not wage/price",3.52,3.182372,3.253329,3.653329,2.57249,3.88,3.312763,3.475664,3.504756,3.278492,4.0,3.25221
120,contribution_offer,sell/labour_supply,activate_causal_effect,food,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,37572998.182163,food:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.252; difference=3.296; determination=3.164,"contribution time directed by truth-vector priority, not wage/price",3.28,3.008346,3.067066,3.447066,3.375457,3.76,3.312763,3.475664,3.295808,3.163572,4.0,3.25221
120,contribution_offer,sell/labour_supply,activate_causal_effect,energy,infrastructure_energy,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,35736010.102069,energy:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.208; difference=3.562; determination=3.310,"contribution time directed by truth-vector priority, not wage/price",3.12,2.856192,3.117493,3.429493,2.967598,3.2,3.312763,3.475664,3.562132,3.31005,4.0,3.208
120,contribution_offer,sell/labour_supply,activate_causal_effect,shelter,social_infrastructure,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,21599502.349505,shelter:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.120; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.92,1.381232,0.688,1.032,3.054014,3.52,3.312763,3.475664,0.0,1.350877,0.820351,3.12
120,contribution_offer,sell/labour_supply,activate_causal_effect,health,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,22511055.366868,health:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.252; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",3.04,1.445232,0.72,1.08,3.020841,3.64,3.312763,3.475664,0.0,1.350877,0.820351,3.25221
120,contribution_offer,sell/labour_supply,activate_causal_effect,care,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,21484262.478857,care:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.252; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",3.24,1.221232,0.608,0.912,3.166162,3.2,3.312763,3.475664,0.0,1.350877,0.820351,3.25221
120,contribution_offer,sell/labour_supply,activate_causal_effect,education,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,19548437.19158,education:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=2.591; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.8,0.997232,0.496,0.744,3.073213,3.0,3.312763,3.475664,0.0,1.350877,0.820351,2.59147
120,contribution_offer,sell/labour_supply,activate_causal_effect,mobility,logistics_circulation,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,17681880.235739,mobility:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=2.867; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.64,0.805232,0.4,0.6,2.646048,2.28,3.312763,3.475664,0.0,1.350877,0.820351,2.8672
120,contribution_offer,sell/labour_supply,activate_causal_effect,manufacturing,material_transformation,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,20584789.920811,manufacturing:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.576; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.88,1.061232,0.528,0.792,3.411101,2.96,3.312763,3.475664,0.0,1.350877,0.820351,3.576
120,contribution_offer,sell/labour_supply,activate_causal_effect,storage,resilience_capital,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,19387290.518837,storage:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.360; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",3.08,1.029232,0.512,0.768,2.346016,3.08,3.312763,3.475664,0.0,1.350877,0.820351,3.36
120,contribution_offer,sell/labour_supply,activate_causal_effect,governance,institutional_coordination,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,20405239.810056,governance:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.283; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.68,1.189232,0.592,0.888,3.244818,3.44,3.312763,3.475664,0.0,1.350877,0.820351,3.283228
120,contribution_offer,sell/labour_supply,activate_causal_effect,knowledge,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,20205996.339872,knowledge:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.283; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.76,1.093232,0.544,0.816,3.416297,3.28,3.312763,3.475664,0.0,1.350877,0.820351,3.283228
120,contribution_offer,sell/labour_supply,activate_causal_effect,resilience,risk_protection,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,20537772.149212,resilience:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.294; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",2.52,1.317232,0.656,0.984,2.61473,3.52,3.312763,3.475664,0.0,1.350877,0.820351,3.293891
120,contribution_offer,sell/labour_supply,activate_causal_effect,repair,circular_industry,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,20497635.274452,repair:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.297; difference=0.000; determination=1.351,"contribution time directed by truth-vector priority, not wage/price",3.28,0.933232,0.464,0.696,3.030743,2.88,3.312763,3.475664,0.0,1.350877,0.820351,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,ecology,planetary_regeneration,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,27055881.768568,ecology:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.297; difference=1.029; determination=1.917,"contribution time directed by truth-vector priority, not wage/price",2.76,1.940112,1.456035,1.824035,2.733449,3.84,3.312763,3.475664,1.028621,1.916619,1.838686,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,waste,material_difference_resolution,Aqua-North Basin,Aqua-Nort Commune 313,Aqua-North Basin,Aqua-Nort Commune 313,24571643.528122,waste:Aqua-Nort Commune 313->Aqua-Nort Commune 313,angle=3.297; difference=0.851; determination=1.819,"contribution time directed by truth-vector priority, not wage/price",3.36,1.50818,1.155696,1.435696,3.030743,3.04,3.312763,3.475664,0.850995,1.818924,1.662835,3.297061
120,contribution_offer,sell/labour_supply,activate_causal_effect,water,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,38816038.360271,water:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.293; difference=3.559; determination=3.478,"contribution time directed by truth-vector priority, not wage/price",3.52,3.206753,3.291255,3.691255,2.946302,3.88,3.268553,3.520106,3.558936,3.477957,4.0,3.29293
120,contribution_offer,sell/labour_supply,activate_causal_effect,food,primary_reproduction,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,39871521.57826,food:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.293; difference=3.591; determination=3.496,"contribution time directed by truth-vector priority, not wage/price",3.28,3.141263,3.273825,3.653825,3.111243,3.76,3.268553,3.520106,3.591179,3.495691,4.0,3.29293
120,contribution_offer,sell/labour_supply,activate_causal_effect,energy,infrastructure_energy,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,37302206.698865,energy:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.208; difference=3.624; determination=3.514,"contribution time directed by truth-vector priority, not wage/price",3.12,2.884043,3.160818,3.472818,2.702611,3.2,3.268553,3.520106,3.624025,3.513756,4.0,3.208
120,contribution_offer,sell/labour_supply,activate_causal_effect,shelter,social_infrastructure,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,22397084.213194,shelter:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.120; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",2.92,1.381232,0.688,1.032,2.920434,3.52,3.268553,3.520106,0.0,1.520542,0.888217,3.12
120,contribution_offer,sell/labour_supply,activate_causal_effect,health,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,23358883.848223,health:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.293; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",3.04,1.445232,0.72,1.08,2.978678,3.64,3.268553,3.520106,0.0,1.520542,0.888217,3.29293
120,contribution_offer,sell/labour_supply,activate_causal_effect,care,care_reproduction,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,22059125.438006,care:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.293; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",3.24,1.221232,0.608,0.912,2.748938,3.2,3.268553,3.520106,0.0,1.520542,0.888217,3.29293
120,contribution_offer,sell/labour_supply,activate_causal_effect,education,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,20228839.017673,education:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=2.591; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",2.8,0.997232,0.496,0.744,2.891334,3.0,3.268553,3.520106,0.0,1.520542,0.888217,2.59147
120,contribution_offer,sell/labour_supply,activate_causal_effect,mobility,logistics_circulation,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,18837214.569671,mobility:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=2.867; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",2.64,0.805232,0.4,0.6,3.087644,2.28,3.268553,3.520106,0.0,1.520542,0.888217,2.8672
120,contribution_offer,sell/labour_supply,activate_causal_effect,manufacturing,material_transformation,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,20863181.708166,manufacturing:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.576; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",2.88,1.061232,0.528,0.792,2.578076,2.96,3.268553,3.520106,0.0,1.520542,0.888217,3.576
120,contribution_offer,sell/labour_supply,activate_causal_effect,storage,resilience_capital,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,20413032.10503,storage:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.360; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",3.08,1.029232,0.512,0.768,2.398583,3.08,3.268553,3.520106,0.0,1.520542,0.888217,3.36
120,contribution_offer,sell/labour_supply,activate_causal_effect,governance,institutional_coordination,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,21525117.455696,governance:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.521; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",2.68,1.189232,0.592,0.888,3.124693,3.44,3.268553,3.520106,0.0,1.520542,0.888217,3.520759
120,contribution_offer,sell/labour_supply,activate_causal_effect,knowledge,knowledge_reproduction,Aqua-North Basin,Aqua-Nort Commune 454,Aqua-North Basin,Aqua-Nort Commune 454,21216497.87607,knowledge:Aqua-Nort Commune 454->Aqua-Nort Commune 454,angle=3.521; difference=0.000; determination=1.521,"contribution time directed by truth-vector priority, not wage/price",2.76,1.093232,0.544,0.816,3.167229,3.28,3.268553,3.520106,0.0,1.520542,0.888217,3.520759
